Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\5272015\rawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,
4, 27, SBGnew, 60.0, 0.0003,0.1048,0.0377,0.0244,0.1131,0.2921,0.3030,0.0000,0.0008,0.1666,0.0513,0.0361,0.2351,0.2242,0.4167,0.0005,0.0006,0.0070,0.0140,0.8768,0.0070,0.0382,0.1551,0.0012,0.0010,0.0076,0.0211,0.9989,0.0087,0.0656,0.0662,0.0003,
4, 28, SBGnew, 60.0, 0.0004,0.1795,0.0727,0.0501,0.2011,0.4410,0.4373,0.0006,0.0015,0.2803,0.0987,0.0689,0.3811,0.3597,0.5805,0.0010,0.0010,0.0159,0.0287,1.1910,0.0142,0.0775,0.2857,0.0015,0.0013,0.0153,0.0410,1.2992,0.0179,0.1326,0.1290,0.0010,
4, 29, SBGnew, 60.0, 0.0009,0.2830,0.1330,0.0952,0.3320,0.6119,0.5847,0.0017,0.0022,0.4357,0.1794,0.1278,0.5658,0.5261,0.7544,0.0020,0.0019,0.0333,0.0556,1.5021,0.0275,0.1502,0.4934,0.0017,0.0023,0.0308,0.0791,1.5811,0.0342,0.2499,0.2367,0.0022,
4, 30, SBGnew, 60.0, 0.0019,0.4077,0.2265,0.1714,0.5003,0.7910,0.7295,0.0016,0.0028,0.6198,0.3020,0.2201,0.7739,0.7143,0.9210,0.0032,0.0025,0.0643,0.1064,1.7817,0.0524,0.2781,0.7704,0.0029,0.0033,0.0603,0.1475,1.8121,0.0649,0.4442,0.4055,0.0035,
4, 31, SBGnew, 60.0, 0.0031,0.5470,0.3550,0.2883,0.6962,0.9633,0.8624,0.0025,0.0034,0.8234,0.4661,0.3536,0.9897,0.9044,1.0632,0.0046,0.0035,0.1216,0.1969,2.0007,0.0967,0.4856,1.0811,0.0044,0.0040,0.1144,0.2636,1.9883,0.1202,0.7261,0.6334,0.0052,
4, 32, SBGnew, 60.0, 0.0044,0.6867,0.5104,0.4450,0.9045,1.1130,0.9704,0.0035,0.0050,1.0230,0.6635,0.5242,1.1908,1.0787,1.1776,0.0060,0.0047,0.2218,0.3508,2.1627,0.1780,0.7776,1.3956,0.0058,0.0049,0.2107,0.4430,2.1235,0.2150,1.0667,0.8874,0.0078,
4, 33, SBGnew, 60.0, 0.0055,0.8135,0.6809,0.6327,1.1020,1.2305,1.0494,0.0038,0.0063,1.2053,0.8779,0.7194,1.3617,1.2247,1.2612,0.0074,0.0064,0.3774,0.5838,2.2891,0.3121,1.1175,1.6857,0.0090,0.0063,0.3591,0.6795,2.2257,0.3609,1.4259,1.1508,0.0105,
4, 34, SBGnew, 60.0, 0.0068,0.9177,0.8510,0.8381,1.2737,1.3146,1.1040,0.0039,0.0075,1.3527,1.0872,0.9204,1.4933,1.3369,1.3144,0.0090,0.0089,0.5855,0.8892,2.3813,0.5144,1.4748,1.9186,0.0135,0.0083,0.5622,0.9381,2.3008,0.5624,1.7804,1.3952,0.0148,
4, 35, SBGnew, 60.0, 0.0074,0.9967,1.0064,1.0423,1.4076,1.3697,1.1379,0.0051,0.0087,1.4622,1.2733,1.1056,1.5844,1.4130,1.3435,0.0094,0.0122,0.8222,1.2242,2.4421,0.7683,1.8148,2.0913,0.0202,0.0104,0.7927,1.2009,2.3503,0.8015,2.0898,1.5969,0.0230,
4, 36, SBGnew, 60.0, 0.0085,1.0492,1.1311,1.2241,1.4999,1.3988,1.1541,0.0061,0.0097,1.5369,1.4243,1.2544,1.6396,1.4600,1.3584,0.0106,0.0167,1.0617,1.5581,2.4831,1.0429,2.1041,2.2219,0.0311,0.0144,1.0277,1.4395,2.3759,1.0554,2.3279,1.7430,0.0360,
4, 37, SBGnew, 60.0, 0.0101,1.0789,1.2220,1.3682,1.5568,1.4121,1.1612,0.0078,0.0103,1.5812,1.5315,1.3571,1.6694,1.4876,1.3631,0.0117,0.0233,1.2840,1.8621,2.5100,1.3161,2.3200,2.3227,0.0515,0.0204,1.2479,1.6328,2.3916,1.2996,2.5109,1.8595,0.0576,
4, 38, SBGnew, 60.0, 0.0130,1.0929,1.2809,1.4691,1.5899,1.4156,1.1636,0.0101,0.0111,1.6007,1.6012,1.4214,1.6810,1.4980,1.3635,0.0123,0.0330,1.4629,2.1041,2.5234,1.5610,2.4874,2.3937,0.0873,0.0303,1.4287,1.7721,2.3956,1.5126,2.6510,1.9425,0.0905,
4, 39, SBGnew, 60.0, 0.0153,1.0968,1.3136,1.5317,1.6016,1.4172,1.1635,0.0125,0.0120,1.6074,1.6410,1.4525,1.6848,1.5024,1.3634,0.0120,0.0417,1.5809,2.2611,2.5298,1.7320,2.6016,2.4398,0.1219,0.0394,1.5470,1.8702,2.3916,1.6620,2.7427,1.9963,0.1216,
4, 40, SBGnew, 60.0, 0.0177,1.0971,1.3255,1.5631,1.6054,1.4169,1.1635,0.0145,0.0128,1.6105,1.6582,1.4629,1.6868,1.5044,1.3637,0.0127,0.0498,1.6555,2.3639,2.5336,1.8395,2.6757,2.4663,0.1535,0.0477,1.6231,1.9320,2.3889,1.7592,2.7982,2.0274,0.1484,
6, 1, SBGnew, 72.0, 0.0033,0.0035,0.0048,0.0081,0.0056,0.0020,0.0010,0.0052,0.0043,0.0041,0.0101,0.0102,0.0086,0.0039,0.0039,0.0048,0.0039,0.0071,0.0099,0.0063,0.0066,0.0108,0.0088,0.0050,0.0047,0.0066,0.0086,0.0044,0.0112,0.0104,0.0063,0.0074,
6, 2, SBGnew, 72.0, 0.0031,0.0035,0.0048,0.0076,0.0060,0.0028,0.0013,0.0053,0.0045,0.0044,0.0091,0.0095,0.0084,0.0038,0.0041,0.0048,0.0036,0.0070,0.0102,0.0063,0.0067,0.0104,0.0088,0.0054,0.0044,0.0061,0.0085,0.0054,0.0112,0.0097,0.0066,0.0069,
6, 3, SBGnew, 72.0, 0.0030,0.0031,0.0051,0.0074,0.0062,0.0030,0.0015,0.0056,0.0044,0.0046,0.0077,0.0095,0.0082,0.0042,0.0036,0.0052,0.0037,0.0072,0.0102,0.0058,0.0069,0.0096,0.0079,0.0059,0.0044,0.0056,0.0081,0.0064,0.0103,0.0090,0.0066,0.0062,
6, 4, SBGnew, 72.0, 0.0033,0.0028,0.0047,0.0069,0.0063,0.0032,0.0017,0.0061,0.0041,0.0049,0.0069,0.0086,0.0076,0.0044,0.0031,0.0058,0.0032,0.0068,0.0101,0.0051,0.0072,0.0089,0.0078,0.0054,0.0037,0.0050,0.0072,0.0066,0.0096,0.0079,0.0064,0.0054,
6, 5, SBGnew, 72.0, 0.0034,0.0028,0.0047,0.0060,0.0058,0.0034,0.0020,0.0061,0.0039,0.0050,0.0065,0.0075,0.0068,0.0033,0.0029,0.0054,0.0035,0.0059,0.0101,0.0048,0.0075,0.0082,0.0068,0.0045,0.0029,0.0042,0.0068,0.0060,0.0098,0.0074,0.0065,0.0046,
6, 6, SBGnew, 72.0, 0.0037,0.0025,0.0048,0.0058,0.0050,0.0034,0.0020,0.0057,0.0038,0.0042,0.0064,0.0069,0.0062,0.0024,0.0025,0.0049,0.0037,0.0057,0.0091,0.0046,0.0076,0.0083,0.0056,0.0038,0.0030,0.0039,0.0067,0.0057,0.0090,0.0066,0.0066,0.0046,
6, 7, SBGnew, 72.0, 0.0039,0.0023,0.0043,0.0056,0.0042,0.0023,0.0019,0.0055,0.0040,0.0034,0.0062,0.0064,0.0061,0.0023,0.0017,0.0048,0.0036,0.0058,0.0082,0.0042,0.0074,0.0074,0.0051,0.0038,0.0028,0.0034,0.0057,0.0044,0.0080,0.0067,0.0056,0.0043,
6, 8, SBGnew, 72.0, 0.0042,0.0024,0.0036,0.0054,0.0032,0.0023,0.0018,0.0052,0.0037,0.0023,0.0060,0.0054,0.0049,0.0019,0.0013,0.0044,0.0032,0.0050,0.0073,0.0033,0.0068,0.0063,0.0044,0.0030,0.0023,0.0028,0.0052,0.0033,0.0073,0.0070,0.0051,0.0045,
6, 9, SBGnew, 72.0, 0.0037,0.0020,0.0038,0.0047,0.0027,0.0020,0.0019,0.0045,0.0037,0.0012,0.0052,0.0050,0.0041,0.0014,0.0012,0.0037,0.0035,0.0045,0.0064,0.0028,0.0059,0.0053,0.0040,0.0035,0.0022,0.0022,0.0055,0.0027,0.0073,0.0065,0.0045,0.0040,
6, 10, SBGnew, 72.0, 0.0037,0.0017,0.0036,0.0046,0.0025,0.0016,0.0011,0.0037,0.0037,0.0007,0.0046,0.0052,0.0039,0.0014,0.0009,0.0033,0.0033,0.0044,0.0055,0.0015,0.0051,0.0037,0.0037,0.0042,0.0024,0.0018,0.0053,0.0023,0.0060,0.0058,0.0037,0.0045,
6, 11, SBGnew, 72.0, 0.0038,0.0018,0.0037,0.0043,0.0026,0.0012,0.0008,0.0037,0.0033,0.0011,0.0047,0.0046,0.0035,0.0013,0.0008,0.0033,0.0027,0.0042,0.0050,0.0014,0.0041,0.0032,0.0032,0.0034,0.0021,0.0019,0.0052,0.0016,0.0061,0.0052,0.0030,0.0038,
