"Vars","TLR2.1_HC_1","TLR2.1_NC_1","TLR2.1_SC_1","TLR2.1_HT_1","TLR2.1_NT_1","TLR2.1_ST_1","TLR2.1_NTC_1","TLR2.1_HC_2","TLR2.1_NC_2","TLR2.1_SC_2","TLR2.1_HT_2","TLR2.1_NT_2","TLR2.1_ST_2","TLR2.1_NTC_2","TLR2.1_HC_3","TLR2.1_NC_3","TLR2.1_SC_3","TLR2.1_HT_3","TLR2.1_NT_3","TLR2.1_ST_3","**TLR2.1_NTC_3**","TLR2.1_HC_4","TLR2.1_NC_4","TLR2.1_SC_4","TLR2.1_HT_4","TLR2.1_NT_4","TLR2.1_ST_4","**TLR2.1_NTC_4**","TLR2.1_HC_5","TLR2.1_NC_5","TLR2.1_SC_5","TLR2.1_HT_5","*TLR2.1_NT_5*","**TLR2.1_ST_5**","TLR2.1_HC_6","TLR2.1_NC_6","TLR2.1_SC_6","**TLR2.1_HT_6**","TLR2.1_NT_6","TLR2.1_ST_6","TLR2.1_HC_7","TLR2.1_NC_7","TLR2.1_SC_7","**TLR2.1_HT_7**","TLR2.1_NT_7","TLR2.1_ST_7","TLR2.1_HC_8","TLR2.1_NC_8","TLR2.1_SC_8","TLR2.1_HT_8","TLR2.1_NT_8","TLR2.1_ST_8"
"sig.cpT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.Cy0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpCQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.fluo","2567.629","3421.348","3474.815","2532.586","3383.266","3454.487","2739.368","2654.539","3715.139","3473.787","2615.45","3539.343","3544.182","2855.133","2565.845","3730.713","3637.116","3620.032","3533.616","3591.054","2524.43","3840.229","3763.384","3833.13","3593.692","3838.379","3494.325","2500.607","3832.538","3930.242","3757.44","3875.286",NA,"2535.44","3595.403","3773.765","3631.763","2560.295","3398.398","3457.744","2739.025","3749.434","3495.823","2513.377","3473.095","3553.715","3630.652","3209.823","3438.289","3471.121","3414.485","3562.373"
"sig.init1","-18293.34","2510.613","2545.845","2509.298","2521.626","2545.687","2490.484","-3.789974","2621.245","2539.626","2557.706","2567.336","2543.86","2507.873","2559.695","2637.438","2633.268","2636.244","2569.982","2535.377","2524.375","2607.371","2632.995","2602.115","2619.649","2617.776","2546.009","2500.389","2644.278","2675.609","2617.255","2632.436",NA,"2535.215","2571.47","2636.408","2568.641","2559.764","2534.429","2523.34","2568.21","2581.547","2531.273","2512.345","2534.368","2573.107","2536.774","2518.3","2533.126","2522.444","2523.558","2532.288"
"sig.init2","2560.436","30.49917","36.22344","2481.678","36.67646","45.3893","623.4997","2644.563","26.15126","51.03078","1912.194","31.46444","30.35017","380.5119","2559.695","19.37386","30.62025","27.88676","35.72042","21.20067","2524.375","18.41021","20.21106","14.76447","29.16623","12.34896","30.30098","2500.389","22.63155","18.75151","19.56403","14.40585",NA,"2535.215","15.07653","21.08112","28.22305","2559.764","37.91455","28.17901","1074.801","19.66137","27.99039","2511.07","36.15053","27.07389","26.68722","103.805","40.50297","27.15552","33.22488","20.57592"
"sig.cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.b","-0.3329234","-25.60935","-24.52994","-2.242492","-25.70091","-23.52648","-20.16603","-0.2346144","-23.95849","-22.31143","-17.21311","-24.67276","-24.09553","-20.44011","-1.672752","-25.74026","-24.85773","-25.80342","-24.13676","-24.60908","-1.902686","-23.49665","-24.86113","-24.55874","-25.65619","-25.41766","-25.21014","-1.2346","-23.38256","-23.68744","-24.69387","-24.4331",NA,"-1.436777","-23.55057","-24.4833","-23.63211","-1.051703","-25.61429","-25.53938","-18.29085","-23.90008","-25.13652","-2.562534","-24.20308","-25.27687","-23.06877","-22.93339","-24.24676","-25.43511","-25.57645","-25.3748"
"sig.c","-18293.34","2510.613","2545.845","2509.298","2521.626","2545.687","2490.484","-3.789974","2621.245","2539.626","2557.706","2567.336","2543.86","2507.873","2559.695","2637.438","2633.268","2636.244","2569.982","2535.377","2524.375","2607.371","2632.995","2602.115","2619.649","2617.776","2546.009","2500.389","2644.278","2675.609","2617.255","2632.436",NA,"2535.215","2571.47","2636.408","2568.641","2559.764","2534.429","2523.34","2568.21","2581.547","2531.273","2512.345","2534.368","2573.107","2536.774","2518.3","2533.126","2522.444","2523.558","2532.288"
"sig.d","2588.925","7247.509","7415.353","2535431","6997.494","7327.054","32378371","2697.157","8344.064","7470.8","4199754","7654.539","7799.816","41924811","2618.085","8313.379","7888.525","7754.72","7623.884","8051.128","2552.955","9077.068","8537.504","9027.478","7690.451","8966.646","7493.715","487187.1","8886.788","9263.387","8582.252","9142.084",NA,"2575.582","53484952","8583.036","8137.02","175395.9","7033.254","7392.927","8303592","8699.777","7558.439","2538.727","7463.414","7678.853","8300.469","6155.86","7286.274","7467.224","7174.626","7908.104"
"sig.e","4.148584e-08","38.56188","37.71768","7046.756","39.0065","37.54335","71.7242","8.935593e-07","37.50139","36.26761","76.64554","37.93514","37.43314","70.90526","3.592985","38.88582","37.91914","39.02196","37.45763","41.05494","26.91623","36.89251","37.76627","37.69638","38.29524","41.25526","38.06205","138266.9","37.29936","36.92848","37.83706","40.68483",NA,"36.90943","63.44419","38.08827","36.90772","174485.3","38.56361","39.6294","72.1583","37.27584","38.39471","25.9165","37.61297","39.70374","36.86813","37.37915","37.41798","39.57537","39.25922","40.1017"
"sig.model","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4",NA,"l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4"
"sli.eff",NA,"1.16177","1.160017",NA,"1.149732","1.154754",NA,NA,"1.173285","1.156118",NA,"1.161398","1.168167","1.007409",NA,"1.17336","1.163493","1.159485","1.162931","1.128546",NA,"1.18649","1.178866","1.189181","1.166167","1.131829","1.159426",NA,"1.178971","1.186159","1.179029","1.156079",NA,NA,NA,"1.175873","1.171329",NA,"1.155434","1.162749",NA,"1.182358","1.166226",NA,"1.161232","1.162955","1.174146","1.127172","1.158817","1.164894","1.163795","1.179397"
"exp.eff",NA,"1.855508","1.842274","1.078345","1.861262","1.818421","1.682082",NA,"1.836814","1.875694","1.548165","1.877444","1.854174","1.695",NA,"1.864908","1.874397","1.847911","1.850091","1.836767",NA,"1.874469","1.892081","1.888878","1.90432","1.896399","1.890482",NA,"1.807415","1.883826","1.864374","1.820458",NA,NA,"1.834643","1.855557","1.870689",NA,"1.855221","1.856796","1.591538","1.843946","1.827596","0.871802","1.859879","1.85255","1.824439","1.870021","1.855491","1.862102","1.857297","1.869489"
"LRE.eff",NA,"1.048044","1.035923",NA,NA,"1.06588",NA,NA,"1.09156","1.116268",NA,"1.012898","1.09148",NA,NA,"1.025879","1.012901",NA,"1.082368",NA,NA,"1.062595","1.052097","1.084012","1.088062",NA,NA,NA,"1.135085","1.053928","1.046942",NA,NA,NA,NA,"1.01318","1.036993",NA,"1.037584",NA,NA,"1.13574","1.081796",NA,"1.056111",NA,"1.052546","1.062012","1.07404",NA,"1.015098",NA
"sli.rsq",NA,"0.9945444","0.9939906",NA,"0.9889262","0.9955111",NA,NA,"0.9954685","0.9941473",NA,"0.9917633","0.9952153","0.8723789",NA,"0.9923329","0.9921087","0.9886755","0.9951209","0.9702765",NA,"0.9944634","0.9944803","0.995313","0.9957411","0.9634449","0.9889452",NA,"0.994744","0.9939174","0.9937787","0.9812431",NA,NA,NA,"0.9943893","0.9935343",NA,"0.9945709","0.9933796",NA,"0.9949003","0.9955213",NA,"0.9952414","0.9928576","0.9947946","0.9961422","0.9955879","0.9941334","0.996638","0.9979191"
"sli.init",NA,"14.79026","18.16086",NA,"20.31284","21.88857",NA,NA,"13.40922","25.443",NA,"17.25143","15.05983","1965.984",NA,"10.74688","16.62198","15.88868","17.51988","34.03714",NA,"10.45598","10.97241","8.299315","14.01173","31.26485","17.72705",NA,"12.09919","10.72994","10.8194","15.32459",NA,NA,NA,"11.39772","15.38963",NA,"17.92383","12.45055",NA,"10.66773","13.49594",NA,"17.77757","12.62744","14.34201","48.74038","19.40116","11.76334","12.45815","6.939791"
"sli.base",NA,"0","0",NA,"0","0",NA,NA,"0","0",NA,"0","0","0",NA,"0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0",NA,NA,NA,"0","0",NA,"0","0",NA,"0","0",NA,"0","0","0","0","0","0","0","0"
"exp.point",NA,"36","35","40","36","35","40",NA,"35","33","40","35","35","40",NA,"36","35","36","35","38",NA,"34","35","35","36","38","35",NA,"35","34","35","38",NA,NA,"40","35","34",NA,"36","37","40","35","36","7","35","37","34","35","35","37","37","37"
"exp.AIC",NA,"212.9313","220.1811","222.8788","217.6364","214.2859","257.026",NA,"223.8483","189.2956","221.1888","198.3365","189.0139","247.4758",NA,"225.2271","185.26","216.6391","206.6771","219.0056",NA,"260.5192","193.3584","178.0977","219.8174","176.6624","174.0558",NA,"298.6175","185.1296","175.9326","207.3391",NA,NA,"324.6378","208.4319","193.7441",NA,"193.0926","189.9341","325.6936","210.7895","229.2041","22.37465","191.0763","196.8837","290.5137","236.7767","216.1021","225.2509","211.7309","215.6128"
"exp.resVar",NA,"18.94746","27.4963","13.62702","21.59294","23.23403","31.99992",NA,"30.53361","15.66201","13.06327","14.73049","11.28598","25.2034",NA,"26.66146","10.13815","21.00297","18.69439","16.39769",NA,"107.9351","12.77756","8.262018","22.94159","5.38085","7.360923",NA,"258.5507","11.75396","7.766422","12.06281",NA,NA,"173.4741","19.6556","15.14328",NA,"10.92","8.704318","178.1142","21.02519","29.7757","0.7987241","11.971","10.50285","260.7918","44.17735","24.4715","22.60852","15.68838","17.4238"
"exp.RMSE",NA,"4.167554","5.013928","3.550352","4.448992","4.608963","5.440581",NA,"5.283601","3.773353","3.476136","3.669861","3.212259","4.828368",NA,"4.94365","3.04453","4.387792","4.134249","3.886275",NA,"9.920253","3.417943","2.748426","4.585825","2.226218","2.594222",NA,"15.37495","3.273659","2.664719","3.333238",NA,NA,"12.66742","4.239202","3.715791",NA,"3.163859","2.828173","12.83572","4.384408","5.224404","0.675584","3.308309","3.106648","15.42014","6.35537","4.73011","4.558004","3.796887","4.001382"
"exp.init",NA,"2.755726e-07","6.258828e-07","1.419887","1.806e-07","1.117581e-06","3.885573e-07",NA,"9.49059e-07","9.347108e-07","2.286522e-06","3.032854e-07","6.521123e-07","4.023186e-07",NA,"2.28353e-07","3.295933e-07","2.627733e-07","6.622886e-07","1.208703e-07",NA,"8.005461e-07","2.950189e-07","3.597727e-07","1.387828e-07","3.633957e-08","2.093221e-07",NA,"2.055973e-06","6.70511e-07","4.75186e-07","2.441525e-07",NA,NA,"5.407521e-08","4.89668e-07","7.217999e-07",NA,"2.627719e-07","1.495523e-07","2.302036e-06","1.012088e-06","5.581919e-07","4.484918","4.966082e-07","1.663162e-07","1.817427e-06","3.703387e-07","5.770698e-07","1.427817e-07","1.740138e-07","1.004317e-07"
"LRE.rsq",NA,"0.2786772","0.327683",NA,NA,"0.1855301",NA,NA,"0.135999","0.02299089",NA,"0.448798","0.1172949",NA,NA,"0.4188969","0.4453597",NA,"0.1371884",NA,NA,"0.3085889","0.3252639","0.2256262","0.1314787",NA,NA,NA,"0.02498158","0.3389112","0.3454386",NA,NA,NA,NA,"0.4994963","0.3679567",NA,"0.3002544",NA,NA,"0.02916765","0.1561015",NA,"0.2459525",NA,"0.3263298","0.1219602","0.1622043",NA,"0.5213571",NA
"LRE.base",NA,"0","0",NA,NA,"0",NA,NA,"0","0",NA,"0","0",NA,NA,"0","0",NA,"0",NA,NA,"0","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,"0","0",NA,"0",NA,NA,"0","0",NA,"0",NA,"0","0","0",NA,"0",NA
