Cycles,TLR2.1_HC_1,TLR2.1_NC_1,TLR2.1_SC_1,TLR2.1_HT_1,TLR2.1_NT_1,TLR2.1_ST_1,TLR2.1_NTC_1,TLR2.1_HC_2,TLR2.1_NC_2,TLR2.1_SC_2,TLR2.1_HT_2,TLR2.1_NT_2,TLR2.1_ST_2,TLR2.1_NTC_2,TLR2.1_HC_3,TLR2.1_NC_3,TLR2.1_SC_3,TLR2.1_HT_3,TLR2.1_NT_3,TLR2.1_ST_3,TLR2.1_NTC_3,TLR2.1_HC_4,TLR2.1_NC_4,TLR2.1_SC_4,TLR2.1_HT_4,TLR2.1_NT_4,TLR2.1_ST_4,TLR2.1_NTC_4,TLR2.1_HC_5,TLR2.1_NC_5,TLR2.1_SC_5,TLR2.1_HT_5,TLR2.1_NT_5,TLR2.1_ST_5,TLR2.1_HC_6,TLR2.1_NC_6,TLR2.1_SC_6,TLR2.1_HT_6,TLR2.1_NT_6,TLR2.1_ST_6,TLR2.1_HC_7,TLR2.1_NC_7,TLR2.1_SC_7,TLR2.1_HT_7,TLR2.1_NT_7,TLR2.1_ST_7,TLR2.1_HC_8,TLR2.1_NC_8,TLR2.1_SC_8,TLR2.1_HT_8,TLR2.1_NT_8,TLR2.1_ST_8
29,3614.856129,3395.315795,3308.44441,3299.791503,3229.673489,3341.950174,3322.445582,3591.847762,3764.725827,3586.916822,3431.59477,3335.434961,3361.966161,3216.443928,3520.426705,3863.564778,3701.508344,3376.009359,3404.114814,3206.248774,3143.635777,3736.192052,3757.574119,3492.393329,3496.584665,3466.487629,3702.98853,3437.193236,3471.616725,3615.804884,3537.783585,3451.589744,3304.013869,3411.412635,3590.107358,3676.029987,3533.457132,3462.473436,3367.210339,3283.382401,3530.454734,3523.929503,3403.968702,3284.769495,3244.518353,3222.177511,3380.763156,3333.922767,3304.920599,3270.758304,3204.86168,3176.954381
30,3617.368145,3412.673652,3320.454002,3296.789105,3241.829193,3367.502565,3317.784878,3592.463244,3833.457725,3647.141925,3429.342972,3356.34766,3415.728094,3224.158097,3515.98517,3880.995692,3747.681208,3380.47093,3430.667027,3214.744573,3139.38238,3763.265677,3824.9199,3527.817618,3507.030019,3472.033073,3721.023931,3442.280306,3490.819074,3692.459125,3550.533759,3460.159577,3318.869728,3418.574361,3591.806713,3690.405482,3604.284697,3465.51786,3371.775998,3285.489064,3530.736942,3580.21347,3451.089344,3284.623382,3268.277319,3232.811004,3409.921454,3359.120871,3346.412723,3272.979072,3208.125273,3181.217796
31,3621.392355,3445.867156,3341.742,3298.967847,3265.107795,3423.786532,3323.269238,3593.109756,3963.623698,3766.862544,3429.677223,3389.436099,3526.504558,3230.11085,3522.020996,3912.634976,3834.312411,3384.578215,3491.132312,3223.324424,3143.093352,3826.23296,3959.850665,3589.784102,3528.140874,3486.326472,3758.919188,3454.268885,3532.134054,3834.343442,3576.262316,3493.582267,3338.09309,3425.2567,3595.486655,3718.136615,3740.0291,3472.023056,3380.522974,3299.082929,3535.417682,3697.359034,3541.724721,3289.116961,3320.746227,3248.11522,3461.379545,3419.157835,3420.659034,3273.854772,3207.238578,3191.643114
32,3621.257891,3505.092092,3376.312213,3299.635968,3305.515665,3530.351285,3323.144739,3593.996123,4224.719224,3989.103753,3434.911027,3455.375373,3736.265783,3241.76674,3520.812659,3985.329742,4007.993844,3398.183689,3606.140834,3238.472116,3147.420374,3951.33359,4214.805054,3715.374093,3567.495949,3516.152931,3843.758638,3482.094717,3616.816355,4121.396449,3632.22466,3549.87787,3383.807214,3438.173643,3606.140834,3776.329771,4004.44902,3475.568507,3403.813186,3318.661177,3536.01279,3915.16969,3721.692129,3287.574331,3421.671447,3285.405606,3564.826824,3534.042222,3575.335219,3275.762893,3205.445733,3208.657283
33,3620.589712,3627.262033,3451.6628,3302.13737,3390.781167,3736.932633,3320.318884,3595.486655,4722.344912,4425.858112,3433.440238,3580.078352,4133.166336,3263.273322,3520.321641,4116.422494,4335.639572,3416.728893,3826.421099,3268.05815,3147.263675,4178.639178,4714.35953,3956.451954,3648.434949,3565.942062,3997.41167,3529.934299,3780.394347,4649.796735,3739.257488,3663.905313,3462.786675,3474.014637,3624.582891,3890.378186,4513.583939,3484.596086,3442.301319,3349.112877,3543.152864,4340.707096,4057.219448,3287.865962,3620.662768,3359.036819,3760.545487,3744.271502,3874.250315,3276.909213,3204.89271,3246.656046
34,3625.520652,3858.008339,3590.055315,3301.178597,3549.960303,4133.74981,3325.625124,3596.372372,5640.370118,5228.154657,3435.49388,3833.738955,4863.009016,3306.682993,3523.824438,4377.923343,4971.553717,3454.832324,4253.762654,3319.432189,3152.069515,4620.805807,5623.158129,4387.483225,3803.381701,3669.743961,4296.223325,3625.03027,4082.500626,5605.842541,3944.32728,3890.638404,3631.358322,3540.598822,3658.411912,4100.910104,5423.748864,3495.676957,3520.551805,3414.216877,3556.642642,5117.764244,4687.932173,3293.880776,3991.719135,3495.834065,4140.47393,4153.963708,4434.583832,3278.462456,3205.122875,3315.418974
35,3624.269653,4298.140872,3833.780981,3304.535282,3858.769933,4857.764593,3328.408353,3594.72506,7205.171661,6613.105036,3436.933018,4307.596178,6072.068914,3379.887457,3527.161088,4884.359076,6105.021991,3526.524593,5043.247208,3429.520115,3166.070688,5448.184396,7170.289797,5117.764244,4100.024632,3865.858603,4865.67814,3810.668527,4665.486023,7169.778158,4335.19146,4311.839801,3943.316463,3672.443138,3718.459871,4506.943871,6926.26091,3524.064621,3674.789006,3538.148867,3581.277308,6441.123438,5778.865498,3294.015894,4671.282645,3762.828316,4834.31911,4914.309755,5422.840912,3276.721075,3205.873474,3448.56731
36,3625.749839,5104.493879,4238.155951,3301.710027,4428.224749,6069.826889,3328.116127,3594.058512,9518.571098,8697.435777,3439.685216,5162.436153,7807.058629,3514.974352,3522.532391,5811.245363,7953.425531,3664.833056,6376.781033,3639.396725,3176.192786,6882.402639,9460.388886,6180.894601,4660.482027,4251.176116,5892.550535,4156.975879,5688.824345,9289.397826,5059.311797,5091.075936,4518.285448,3918.285485,3844.091217,5261.994673,9024.729408,3576.773711,3962.487781,3783.751032,3624.404771,8397.498956,7419.613929,3303.930795,5811.922662,4255.273627,6013.260714,6173.36857,6986.506782,3276.126606,3210.491176,3704.062386
37,3623.686179,6443.282389,4829.649365,3304.274087,5423.978051,7832.923037,3326.85511,3596.31031,12297.74195,11225.44607,3444.595144,6579.755157,9789.537515,3741.863573,3528.202935,7421.865727,10473.9357,3930.138946,8352.359388,4042.780914,3206.832248,9100.86248,12191.79699,7223.081962,5664.889702,4960.691038,7568.04449,4816.420049,7323.110095,11580.91944,6305.901669,6387.403286,5527.706893,4394.458034,4093.154154,6577.097273,11352.44692,3679.02139,4512.155553,4240.199576,3710.223313,10725.60643,9446.283871,3314.720418,7439.389978,5111.509248,7750.982592,8004.685221,9022.602709,3276.220675,3214.359255,4187.646372
38,3625.427238,8351.67187,5535.058002,3305.59874,6958.350785,9885.564237,3328.940384,3594.569579,14867.50703,13570.09069,3452.163823,8578.113509,11506.77245,4104.580769,3527.40093,9874.888717,13211.07341,4428.016397,10696.63503,4757.040474,3260.302544,11886.46542,14699.51248,8181.797393,7313.08241,6195.491362,9894.205906,5976.628532,9475.768115,13477.24699,8179.565141,8250.029147,7070.074803,5232.659199,4561.81127,8524.581486,13343.00889,3876.982201,5480.722603,5060.021285,3866.766031,12889.82752,11378.88024,3339.677966,9312.522469,6434.630644,9823.483393,10145.78481,11110.89565,3277.138992,3213.494154,5055.507914
39,3631.338943,10522.91617,6241.361013,3307.663377,8890.779302,11731.74221,3329.159554,3599.646633,16962.39053,15443.16711,3473.066508,10826.36855,12916.09851,4610.954533,3528.767011,12897.63356,15510.81099,5325.587441,12810.05383,5920.094599,3370.348464,14561.96314,16716.35413,9211.32737,9585.010658,8113.743027,12437.02537,7807.248179,11714.24777,14999.93314,10450.51849,10391.58176,9016.776442,6596.853012,5423.853931,10847.71568,14922.1112,4245.922687,7004.845936,6382.922344,4152.609372,14627.40507,12937.54533,3383.536001,10991.22095,8118.443559,11774.91635,12088.25651,12828.33797,3283.164802,3214.995354,6450.235884
40,3636.352958,12398.41444,6920.92489,3309.612933,10753.62098,13255.66959,3332.808465,3598.155451,18675.88047,16968.20572,3508.208596,12751.80711,14042.75833,5122.36308,3532.92634,15772.1301,17451.97109,6767.531353,14515.75631,7513.29411,3577.931287,16676.31238,18337.36004,10263.88991,12064.27739,10536.40742,14612.36376,10180.33292,13593.47949,16179.06456,12604.98962,12307.63196,10890.11967,8430.276657,6877.056838,13108.62243,16127.35333,4934.399934,8939.672854,8175.739331,4675.787087,15997.6198,14145.09008,3473.890164,12318.30064,9794.313606,13380.39911,13641.29796,14206.22876,3286.885792,3214.494954,8340.924026
