"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_T_2","1.151168","676.9406","381.1469","380.004","0.9999254","0.9999191","30.51","28.5",NA,NA,NA,NA,NA,NA,"4906.412","3506.659","88.77992",NA,"-20.08581","3506.659","10987.8","30.6624","l4","1.172733","0.9948061","53.66415","0","28","1.932409","203.0658","69.55282","7.880402","1.957192e-05","1.067406","0.2202111","0","H_T_2"
"N_T_2","1.153896","2104.906","426.5246","425.3817","0.9997933","0.999776","33.47","31.18",NA,NA,NA,NA,NA,NA,"5623.734","3825.135","64.81319",NA,"-19.35099","3825.135","13478.78","33.64809","l4","1.17442","0.9951369","37.94357","0","31","1.871963","219.6191","59.75947","7.346856","1.092013e-05","1.011984","0.4256483","0","N_T_2"
"S_T_2","1.157347","890.8412","392.1302","390.9873","0.9999063","0.9998985","31.76","29.75",NA,NA,NA,NA,NA,NA,"5156.349","3627.192","66.72744",NA,"-20.8843","3627.192","11769.27","31.9108","l4","1.176067","0.9934852","42.71466","0","29","1.952933","215.1078","82.51409","8.601055","7.095732e-06","1.042748","0.3409253","0","S_T_2"
"**NT_C_2**","0.01064342","6.688943","196.4618","195.3189","0.8068747","0.7907809","40","1",NA,NA,NA,NA,NA,NA,"3473.14","326318.2","326318.2",NA,"0.5562165","3443.491","326318.2","5.521679e-08","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"**NT_C_2**"
"H_C_3","1.173959","1333.991","408.2807","407.1379","0.999897","0.9998884","32.72","30.73",NA,NA,NA,NA,NA,NA,"5887.442","3998.751","42.60844",NA,"-21.80794","3998.751","14034.05","32.86033","l4","1.19119","0.9935972","28.10663","0","30","1.881534","276.367","499.2214","21.19668","1.332548e-05","1.059098","0.3178383","0","H_C_3"
"N_C_3","1.173915","1485.792","412.5917","411.4488","0.9999145","0.9999074","31.49","29.5",NA,NA,NA,NA,NA,NA,"6352.711","4313.92","56.06278",NA,"-20.90272","4313.92","15148.08","31.63699","l4","1.192067","0.9951148","36.61375","0","29","1.937634","241.1588","202.6099","13.47777","1.377783e-05","1.096863","0.1680689","0","N_C_3"
"S_C_3","1.16746","1128.506","401.5895","400.4467","0.9999237","0.9999174","29.75","27.76",NA,NA,NA,NA,NA,NA,"5599.511","3878.102","76.12302",NA,"-19.895","3878.102","13122.37","29.89602","l4","1.185339","0.9934304","51.61201","0","27","1.982772","243.6112","405.9571","18.99607","2.039724e-05","1.050165","0.336568","0","S_C_3"
"H_T_3","1.164686","889.568","392.073","390.9301","0.9999259","0.9999198","31.15","29.16",NA,NA,NA,NA,NA,NA,"5439.136","3776.842","63.80885",NA,"-20.71269","3776.842","12628.11","31.29618","l4","1.183701","0.9949678","40.67183","0","29","1.917312","243.3492","218.5053","13.99647","1.856303e-05","1.132081","0.04117457","0","H_T_3"
"N_T_3","1.165531","1018.148","397.4731","396.3303","0.999909","0.9999015","31.67","29.67",NA,NA,NA,NA,NA,NA,"5348.38","3703.883","56.81485",NA,"-21.02759","3703.883","12478.56","31.81371","l4","1.184599","0.993982","36.17643","0","29","1.940975","220.9773","101.0248","9.517035","9.490232e-06","1.062071","0.2784883","0","N_T_3"
"S_T_3","1.104588","3086.629","441.8369","440.6941","0.9994456","0.9993994","32.66","29.94",NA,NA,NA,NA,NA,NA,"4951.043","3686.716","251.9274",NA,"-15.95133","3686.716","10684.12","32.91623","l4","1.112354","0.9976907","210.1813","0","29","1.927149","234.0231","158.4156","11.91754","9.515023e-06","1.001441","0.581976","0","S_T_3"
"**NT_C_3**","0.02952664","5.80342","190.7814","189.6386","0.9506827","0.9465729","40","1",NA,NA,NA,NA,NA,NA,"3566.704","120796.1","120796.1",NA,"0.340335","3499.158","120796.1","3.031228e-10","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"**NT_C_3**"
"H_C_4","1.167429","1160.296","402.7007","401.5579","0.9998973","0.9998888","31.88","29.91",NA,NA,NA,NA,NA,NA,"5438.246","3766.026","53.03877",NA,"-21.48684","3766.026","12660.9","32.01755","l4","1.182416","0.9914283","37.61671","0","29","1.889276","263.1222","432.0921","19.6823","1.794575e-05","1.021532","0.4733458","0","H_C_4"
"N_C_4","1.169788","954.1882","394.878","393.7351","0.9999414","0.9999365","29.34","27.37",NA,NA,NA,NA,NA,NA,"5743.682","3965.51","78.54176",NA,"-19.73667","3965.51","13512.25","29.49309","l4","1.188999","0.995161","51.59559","0","27","1.900659","187.3862","50.59434","6.706172","8.050532e-05","1.103299","0.1348593","0","N_C_4"
"S_C_4","1.175724","1274.383","406.4522","405.3094","0.9999293","0.9999234","28.95","26.98",NA,NA,NA,NA,NA,NA,"5791.006","3947.939","73.43707",NA,"-19.4865","3947.939","13864.66","29.10474","l4","1.189494","0.9907845","55.82355","0","26","2.011676","243.6666","571.8209","22.49092","2.628393e-05","1.026603","0.4705326","0","S_C_4"
"H_T_4","1.169205","698.6461","382.4093","381.2664","0.9999283","0.9999223","33.16","31.17",NA,NA,NA,NA,NA,NA,"5397.75","3698.224","41.31106",NA,"-22.00353","3698.224","12672.54","33.2994","l4","1.18829","0.9947702","25.44635","0","31","1.91327","264.1","250.9354","15.05494","5.419976e-06","1.136041","0.03846705","0","H_T_4"
"N_T_4","1.167933","656.018","379.891","378.7482","0.9999333","0.9999277","33.74","31.7",NA,NA,NA,NA,NA,NA,"5607.094","3825.69","40.88782",NA,"-21.91217","3825.69","13285.89","33.88576","l4","1.187598","0.994318","24.76503","0","31","1.950375","249.0523","154.4369","11.81065","2.303426e-06","1.06461","0.2877563","0","N_T_4"
