"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"N_T_3","1.202688","29394.83","531.9865","530.8436","0.9988017","0.9987019","36.1","32.95",NA,NA,NA,NA,NA,NA,"7483.224","3651.689","17.10205",NA,"-15.20506","3651.689","25032.19","36.41831","l4","1.170304","0.9968047","45.47923","0","32","1.866756","263.7622","191.164","13.16216","9.803322e-06","1.338416","0.4548653","0","N_T_3"
"*S_T_3*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_T_3*"
"NT_C_3","1.004641","7.062323","198.6345","197.4916","0.9217816","0.9152634","40","40",NA,NA,NA,NA,NA,NA,"3544.008","3499.084","2944.878",NA,"-17.89989","3499.084","1188830","70.64214","l4",NA,NA,NA,NA,"40","1.589854","194.8192","6.7569","2.500026","6.332421e-07",NA,NA,NA,"NT_C_3"
"H_C_4","1.212621","42606.23","546.8337","545.6909","0.999229","0.9991647","33.6","30.42",NA,NA,NA,NA,NA,NA,"8214.95","3860.929","23.31762",NA,"-14.06651","3860.929","28538.88","33.94121","l4","1.163227","0.9974884","92.83603","0","30","1.848007","286.1574","691.8686","24.95359","6.835429e-05","1.36409","0.4265862","0","H_C_4"
"N_C_4","1.203885","34203.43","538.0468","536.9039","0.9994099","0.9993608","32.9","29.65",NA,NA,NA,NA,NA,NA,"8124.803","3913.273","33.14884",NA,"-13.48199","3913.273","27994.29","33.26584","l4","1.165906","0.9980062","94.19541","0","29","1.862521","205.1848","58.60376","7.248538","8.685702e-05","1.261657","0.5619059","0","N_C_4"
"S_C_4","1.201075","32364.34","535.836","534.6932","0.999211","0.9991453","34.03","30.86",NA,NA,NA,NA,NA,NA,"7714.865","3817.728","27.02643",NA,"-14.30996","3817.728","25850.9","34.36074","l4","1.168427","0.9957012","68.73189","0","30","1.881043","190.4887","28.51525","5.065938","2.843906e-05","1.354636","0.5050612","0","S_C_4"
"H_T_4","1.199348","28581.49","530.8641","529.7213","0.9984974","0.9983722","36.74","33.62",NA,NA,NA,NA,NA,NA,"7358.583","3667.713","16.31776",NA,"-15.65256","3667.713","24203.99","37.04435","l4","1.161865","0.9982034","52.2198","0","33","1.866178","225.5337","46.96316","6.534048","6.169652e-06","1.00589","0.4194879","0","H_T_4"
"N_T_4","1.201453","30669.72","533.6848","532.5419","0.998617","0.9985017","36.49","33.37",NA,NA,NA,NA,NA,NA,"7596.837","3750.277","16.62707",NA,"-15.52422","3750.277","25130.92","36.79542","l4","1.159172","0.996084","61.06227","0","33","1.846409","251.5985","103.4623","9.698278","1.051004e-05","1.33014","0.3746808","0","N_T_4"
"S_T_4","1.201694","35461.31","539.4914","538.3486","0.9989418","0.9988536","35.31","32.14",NA,NA,NA,NA,NA,NA,"7935.819","3888.796","21.62824",NA,"-14.81237","3888.796","26573.65","35.63061","l4","1.155124","0.9950045","86.58048","0","32","1.83298","273.9552","262.8707","15.43459","2.886753e-05","1.341135","0.4327597","0","S_T_4"
"NT_C_4","1.01299","16.65943","232.9626","231.8197","0.9733051","0.9710806","40","40",NA,NA,NA,NA,NA,NA,"3772.724","3648.776","2251.385",NA,"-19.54433","3648.776","13504834","72.4083","l4",NA,NA,NA,NA,"40","1.653769","227.2715","15.20876","3.750747","3.751056e-07",NA,NA,NA,"NT_C_4"
"H_C_5","1.204421","38781.64","543.0716","541.9288","0.9993424","0.9992876","32.54","29.3",NA,NA,NA,NA,NA,NA,"7976.068","3848.085","34.27588",NA,"-13.3743","3848.085","27505.5","32.91046","l4","1.158222","0.997266","121.1607","0","29","1.841403","278.0956","724.1244","25.4797","0.0001414784","1.358403","0.4518389","0","H_C_5"
"N_C_5","1.199871","34728.4","538.656","537.5132","0.9991695","0.9991003","33.6","30.44",NA,NA,NA,NA,NA,NA,"7554.156","3769.198","29.4663",NA,"-14.16281","3769.198","25188.74","33.93375","l4","1.157899","0.9975192","97.24637","0","30","1.858207","219.7334","75.58538","8.247839","4.96926e-05","1.346182","0.4101927","0","N_C_5"
