"Vars","CRAF_HC_1","CRAF_NC_1","CRAF_SC_1","CRAF_HT_1","CRAF_NT_1","CRAF_ST_1","CRAF_NTC_1","CRAF_HC_2","CRAF_NC_2","CRAF_SC_2","CRAF_HT_2","CRAF_NT_2","CRAF_ST_2","CRAF_NTC_2","CRAF_HC_3","CRAF_NC_3","CRAF_SC_3","CRAF_HT_3","CRAF_NT_3","CRAF_ST_3","CRAF_NTC_3","CRAF_HC_4","CRAF_NC_4","CRAF_SC_4","CRAF_HT_4","CRAF_NT_4","CRAF_ST_4","CRAF_NTC_4","CRAF_HC_5","CRAF_NC_5","CRAF_SC_5","CRAF_HT_5","CRAF_NT_5","CRAF_ST_5","CRAF_HC_6","CRAF_NC_6","CRAF_SC_6","CRAF_HT_6","CRAF_NT_6","CRAF_ST_6","CRAF_HC_7","CRAF_NC_7","CRAF_SC_7","CRAF_HT_7","CRAF_NT_7","CRAF_ST_7","CRAF_HC_8","CRAF_NC_8","CRAF_SC_8","CRAF_HT_8","CRAF_NT_8","CRAF_ST_8"
"sig.e","31.83077","34.31751","33.05197","34.5629","28.95502","32.8928","38.61454","32.39685","32.72541","32.37995","32.82324","35.20959","35.18578","577814299","32.36705","32.40349","31.95374","33.36949","32.65412","35.37123","283.4273","32.18784","32.9933","32.61393","33.552","35.68997","34.72229","66.15074","32.36148","32.33096","31.44647","32.66206","34.38799","36.51135","37.96452","32.5893","30.81165","34.49125","35.57222","35.16917","30.84147","32.37278","32.41204","33.05735","31.65954","33.95948","30.49349","32.99833","32.41998","33.64166","34.10484","34.24421"
"sig.model","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4"
"sli.eff","1.248347","1.267402","1.268419","1.246435","1.257257","1.212342","1.16374","1.271327","1.268053","1.255992","1.258184","1.259748","1.255516",NA,"1.271115","1.247856","1.248019","1.176488","1.240932","1.227508",NA,"1.27483","1.271055","1.263783","1.261039","1.262775","1.266253","1.028303","1.247258","1.246969","1.241156","1.245895","1.242565","1.234998","1.260477","1.255777","1.248239","1.255395","1.248764","1.238444","1.248496","1.244566","1.236219","1.242541","1.23263","1.236329","1.248968","1.248911","1.249251","1.252661","1.242437","1.240347"
"sli.rsq","0.9967432","0.9957653","0.9965801","0.9954924","0.9961902","0.9958475","0.9990299","0.994589","0.9960108","0.9946746","0.9965506","0.9965269","0.9961657",NA,"0.9945037","0.9942611","0.996588","0.9958317","0.9961711","0.9941206",NA,"0.9963899","0.9966864","0.9957946","0.9958038","0.9954393","0.9958833","0.8387631","0.9942305","0.9944955","0.995273","0.996082","0.9944693","0.9948944","0.9967945","0.9953718","0.9967662","0.9940544","0.9949815","0.9947889","0.9967177","0.994342","0.9945832","0.995754","0.9963963","0.9963721","0.9950498","0.9966912","0.9942437","0.9957118","0.9967848","0.9951319"
"sli.init","8.113232","3.295059","4.23723","4.658665","13.00812","14.10542","25.07028","4.897106","4.748472","6.445266","5.591811","3.162552","3.359808",NA,"4.876782","8.512793","8.258772","30.06323","8.17438","6.151101",NA,"4.667084","4.090742","5.198414","4.251572","2.680571","3.072994","1252.617","7.776549","7.875547","10.39863","7.422711","5.548506","4.273886","1.630824","6.491604","10.33967","4.150802","3.634704","4.913726","10.81373","8.269998","9.738156","7.160726","12.20569","6.6219","10.92158","6.416086","7.219175","5.048311","5.930405","5.826596"
"sli.base","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"exp.point","29","32","30","32","26","30","35","30","30","30","30","32","32",NA,"30","30","29","31","30","33",NA,"29","30","30","31","33","32","40","30","30","29","30","32","34","35","30","28","32","33","32","28","30","30","30","29","31","28","30","30","31","31","31"
"exp.eff","1.835184","1.826528","1.867677","1.840998","1.849072","1.856891","1.773537","1.838541","1.861711","1.835812","1.844715","1.855978","1.84754",NA,"1.841465","1.826552","1.86363","1.875682","1.830608","1.822416",NA,"1.857269","1.88183","1.844676","1.84665","1.851945","1.854309","1.807005","1.818883","1.830114","1.84821","1.855776","1.820503","1.814185","1.840474","1.855894","1.871893","1.838727","1.835897","1.860852","1.828965","1.829319","1.802267","1.83212","1.847178","1.844409","1.831651","1.811019","1.80494","1.843159","1.855243","1.865071"
"exp.AIC","271.0266","280.9796","242.399","259.1091","222.4422","222.0701","311.8572","275.3636","226.8341","256.937","253.1669","262.3615","268.6041",NA,"273.2809","254.2768","217.6548","235.9749","248.5352","260.1718",NA,"267.4651","209.1958","250.5201","259.845","260.1479","259.5212","366.4344","274.6994","242.7172","214.2822","215.5862","261.9591","309.1056","333.2503","228.4974","194.8871","256.8413","262.1664","256.3212","274.7602","242.2176","277.7301","260.1677","207.3866","253.1027","269.6689","282.9576","278.2681","253.0797","237.104","237.9317"
"exp.resVar","567.4799","327.3974","160.8999","165.2936","252.7755","81.70822","377.4244","482.8001","95.77032","261.2251","230.3764","182.977","222.3922",NA,"450.4192","239.0593","90.08903","101.2847","197.4178","134.1559",NA,"501.8967","53.19744","210.9219","218.752","134.059","167.4359","493.2144","472.2289","162.6157","80.19836","65.82667","180.6901","450.5838","695.4797","101.2302","51.9349","153.9846","142.5145","151.5021","900.1852","159.9301","522.428","290.9275","63.22652","175.9929","750.5231","621.8744","531.8819","175.8623","105.0417","107.8842"
"exp.RMSE","22.55604","17.2251","12.0337","12.23917","14.95356","8.575395","18.57616","20.84515","9.284034","15.33305","14.39926","12.87722","14.19658",NA,"20.13398","14.66811","8.987184","9.564671","13.32952","11.04354",NA,"21.21265","6.919371","13.77787","14.0564","11.03956","12.31823","21.35939","20.61567","12.09769","8.479503","7.697012","12.7965","20.26885","25.21641","9.545007","6.809585","11.81307","11.38238","11.71746","28.35025","11.99738","21.68375","16.18131","7.529001","12.60799","25.88648","23.6577","21.87907","12.60331","9.740449","9.871362"
"exp.init","7.104582e-05","2.309115e-05","2.483341e-05","1.253731e-05","0.0003443415","1.995525e-05","6.791193e-06","6.235644e-05","3.542812e-05","5.476591e-05","3.983154e-05","8.055382e-06","8.529899e-06",NA,"5.866849e-05","6.993863e-05","4.493005e-05","8.331333e-06","4.759191e-05","9.464672e-06",NA,"5.43355e-05","2.099666e-05","4.542119e-05","2.232512e-05","6.602086e-06","1.134653e-05","1.030947e-07","7.134166e-05","6.033234e-05","7.090136e-05","3.339578e-05","2.051944e-05","6.319058e-06","1.860549e-06","3.946366e-05","7.799048e-05","1.58956e-05","8.034327e-06","5.669719e-06","0.0001574983","5.968182e-05","8.516366e-05","3.453901e-05","6.375773e-05","1.561468e-05","0.0001779891","5.601101e-05","8.773556e-05","2.302127e-05","1.430091e-05","1.009639e-05"
"LRE.eff","1.013494","1.137701","1.016042","1.062356","1.141245","1.094394","1.061609","1.121974","1.07647","1.08187","1.047","1.003389","1.136649",NA,"1.120937","1.097098","1.002179","1.123199","1.047174","1.070976",NA,"1.012142","1.026306","1.072474","1.062118","1.083377","1.071341",NA,"1.097191","1.100954","1.061875","1.054391","1.096459","1.068275","1.02272","1.077299","1.01779","1.101123","1.07764","1.099083","1.024621","1.094642","1.072684","1.11597","1.032987","1.129457","1.078272","1.005204","1.092013","1.067375","1.000337","1.104"
"LRE.rsq","0.6717951","0.3023353","0.6924681","0.5281733","0.2426259","0.2957863","0.3752824","0.3795951","0.5358618","0.478984","0.5975108","0.7122258","0.2600207",NA,"0.3822216","0.4096006","0.6980595","0.05466929","0.5679604","0.4479416",NA,"0.7167119","0.6787533","0.5341469","0.558985","0.4977002","0.5429982",NA,"0.4117685","0.3933488","0.5161949","0.5518307","0.3986194","0.480211","0.6682262","0.4964909","0.656861","0.4179371","0.4802776","0.361889","0.6456625","0.4096905","0.4634961","0.3024439","0.5866029","0.2282166","0.4765912","0.6968481","0.4363992","0.523165","0.6963998","0.3520058"
"LRE.base","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
