Cycles,CARM_HC_1,CARM_NC_1,CARM_SC_1,CARM_HT_1,CARM_NT_1,CARM_ST_1,CARM_NTC_1,CARM_HC_2,CARM_NC_2,CARM_SC_2,CARM_HT_2,CARM_NT_2,CARM_ST_2,CARM_NTC_2,CARM_HC_3,CARM_NC_3,CARM_SC_3,CARM_HT_3,CARM_NT_3,CARM_ST_3,CARM_NTC_3,CARM_HC_4,CARM_NC_4,CARM_SC_4,CARM_HT_4,CARM_NT_4,CARM_ST_4,CARM_NTC_4,CARM_HC_5,CARM_NC_5,CARM_SC_5,CARM_HT_5,CARM_NT_5,CARM_ST_5,CARM_HC_6,CARM_NC_6,CARM_SC_6,CARM_HT_6,CARM_NT_6,CARM_ST_6,CARM_HC_7,CARM_NC_7,CARM_SC_7,CARM_HT_7,CARM_NT_7,CARM_ST_7,CARM_HC_8,CARM_NC_8,CARM_SC_8,CARM_HT_8,CARM_NT_8,CARM_ST_8
11,3486.597684,3276.418831,3244.904648,3257.434675,3105.699472,3081.064807,3079.876846,3496.19837,3552.044976,3401.476721,3324.561286,3237.200496,3117.354777,3160.514248,3393.252135,3761.358147,3400.38283,3275.887401,3266.285738,3137.130582,3049.65471,3445.511891,3499.962363,3446.137391,3323.498425,3456.114354,3426.746904,3207.686934,3361.18453,3314.094919,3306.213624,3293.609563,3176.015643,3261.531941,3453.852537,3572.019914,3271.508904,3350.739176,3207.895108,3188.025235,3372.214336,3306.954206,3288.50148,3203.100263,3132.199642,3045.797626,3359.516206,3201.233782,3220.165895,3136.077739,3122.43183,3043.722971
12,3489.766231,3278.316343,3246.165665,3259.25913,3106.49112,3081.836419,3081.721337,3493.394128,3554.704082,3401.94609,3328.908752,3239.827595,3118.042338,3163.81889,3399.131831,3764.037289,3400.41386,3276.116588,3270.319966,3134.618566,3054.147312,3446.252473,3500.149524,3447.253272,3325.44798,3454.978437,3428.790528,3204.86168,3362.21636,3316.023461,3309.956604,3294.151989,3177.433767,3261.250711,3453.685412,3569.340772,3277.305526,3355.252791,3207.019409,3187.81706,3366.053409,3305.953406,3288.37638,3202.630894,3135.317122,3046.120882,3360.767205,3202.943155,3223.407498,3139.840754,3118.459664,3041.992585
13,3491.435186,3277.545323,3249.408832,3259.426845,3103.573335,3083.755501,3082.504501,3496.094915,3558.655879,3404.198504,3327.856511,3240.73491,3121.451631,3163.48521,3398.715119,3769.324175,3401.477336,3278.473066,3267.620402,3136.713823,3054.033759,3447.368977,3504.893936,3449.964068,3327.648337,3451.851562,3428.677043,3208.626252,3364.187536,3314.095518,3308.851338,3298.958425,3179.592071,3261.449456,3461.38017,3569.986952,3274.355763,3354.637915,3209.2928,3192.935739,3370.244377,3309.915176,3292.922597,3205.383671,3136.088323,3045.954307,3366.887691,3208.270988,3225.014344,3141.874928,3122.057095,3047.03818
14,3494.770859,3284.342745,3253.495104,3265.462672,3108.389193,3085.610987,3086.350591,3501.380143,3559.541596,3409.901057,3332.402134,3240.526736,3121.451631,3165.622904,3401.477336,3759.638459,3406.659454,3278.557117,3267.600366,3141.415577,3054.22092,3448.79712,3505.675566,3451.163024,3330.243427,3450.319332,3436.318157,3209.230739,3366.627474,3317.952603,3312.323106,3302.836523,3180.498801,3265.462672,3458.116577,3565.223137,3272.572356,3358.182739,3215.735936,3190.30864,3371.433315,3308.59112,3290.347542,3206.655684,3137.235236,3049.060792,3367.325053,3208.532183,3225.858035,3145.763044,3123.485238,3048.331205
15,3495.323302,3286.406405,3253.025735,3262.512317,3112.257274,3088.561342,3086.997104,3502.840294,3563.638863,3406.846615,3336.571481,3243.383022,3121.806895,3168.427146,3401.008944,3765.862425,3398.506945,3281.736659,3274.303719,3142.323285,3055.868232,3450.058137,3507.948378,3455.625573,3329.900136,3454.801917,3431.960672,3207.437314,3368.806216,3319.120528,3315.533678,3298.259869,3183.731364,3263.742304,3461.994675,3566.296993,3276.919823,3354.972167,3216.10024,3194.416903,3369.63989,3311.520462,3295.320509,3204.862259,3137.079105,3049.738335,3371.485358,3211.148286,3229.496929,3143.699384,3124.736237,3052.313391
16,3497.585464,3285.499082,3253.192273,3262.740915,3117.052534,3090.145057,3088.799989,3504.12169,3565.587775,3409.421054,3336.008417,3245.143852,3126.549132,3169.927773,3402.394446,3765.945796,3406.314569,3280.150816,3273.906815,3141.248861,3055.565437,3450.578927,3503.413117,3454.822306,3333.579475,3453.456225,3437.880796,3208.479559,3371.01538,3320.475014,3317.045273,3301.167602,3184.44938,3267.494712,3474.629141,3567.849591,3276.179627,3357.546615,3215.703346,3192.894113,3376.905094,3311.926194,3290.951434,3204.851662,3139.88278,3052.031609,3372.985948,3212.690931,3227.056408,3142.551904,3128.592757,3051.176922
17,3500.264606,3285.791307,3258.63363,3263.12721,3116.604178,3087.580997,3088.112428,3504.048634,3566.286331,3410.400841,3339.344089,3242.224529,3126.570145,3168.74983,3404.917457,3763.328715,3403.239115,3282.059323,3277.336556,3141.978448,3055.190137,3451.194408,3508.103875,3452.736656,3331.452776,3457.751648,3430.427822,3212.785,3370.379863,3322.998026,3316.627948,3303.576508,3186.429966,3268.370411,3475.692979,3567.025935,3280.182824,3358.495371,3220.374069,3195.417125,3377.010158,3311.84312,3291.827134,3211.054614,3140.977649,3054.345468,3373.788591,3210.960545,3228.29739,3138.746863,3123.953065,3054.897912
18,3502.880709,3289.960653,3256.94527,3265.754308,3118.40762,3089.686683,3092.167669,3505.998189,3566.025136,3410.473897,3338.281228,3248.469507,3125.319146,3175.150938,3405.094601,3772.314896,3405.511926,3284.039908,3280.505103,3145.887576,3056.483162,3451.121352,3509.605074,3456.06231,3339.12492,3453.571307,3435.524911,3213.879869,3371.682906,3319.203002,3319.05689,3306.223642,3184.220194,3270.184848,3474.59811,3570.476689,3281.736066,3357.400502,3217.361653,3195.68736,3377.780794,3316.419774,3295.006675,3209.730559,3137.515899,3056.462149,3378.198119,3220.6553,3231.706118,3142.092553,3131.396999,3049.331454
19,3505.665549,3291.702629,3261.365405,3269.017514,3122.484438,3091.073358,3089.739285,3511.565281,3569.591617,3413.831199,3346.704576,3248.730311,3129.312891,3174.098669,3410.412452,3768.479506,3409.244527,3286.365357,3288.721243,3147.556469,3058.30817,3459.659802,3514.56768,3463.2877,3339.375723,3454.69783,3439.320556,3215.297597,3374.88407,3327.658354,3323.509044,3308.007646,3189.840248,3270.643813,3474.140364,3569.424491,3284.644989,3361.70655,3219.864233,3195.949132,3381.784602,3322.248026,3298.468043,3213.432093,3143.365133,3054.054772,3383.703127,3215.882048,3231.737732,3146.315488,3124.694211,3055.72212
20,3511.429529,3294.537306,3260.396024,3271.404817,3124.443447,3095.441279,3093.491724,3512.232172,3576.06416,3420.033534,3350.91632,3249.616419,3135.473252,3175.286056,3410.703084,3777.590106,3418.813566,3287.073337,3298.832729,3151.455011,3056.74338,3458.491252,3518.300007,3466.070303,3345.568054,3457.959822,3443.333149,3215.015786,3378.646475,3327.313484,3322.726813,3312.374551,3194.853686,3272.478673,3474.629141,3575.376599,3286.259699,3365.010584,3223.824823,3196.250798,3388.196094,3333.506419,3307.120354,3217.997171,3152.642971,3055.805619,3391.33361,3218.508566,3237.773952,3148.504656,3133.690823,3059.724765
