Cycles,Actin_HC_1,Actin_NC_1,Actin_SC_1,Actin_HT_1,Actin_NT_1,Actin_ST_1,Actin_NTC_1,Actin_HC_2,Actin_NC_2,Actin_SC_2,Actin_HT_2,Actin_NT_2,Actin_ST_2,Actin_NTC_2,Actin_HC_3,Actin_NC_3,Actin_SC_3,Actin_HT_3,Actin_NT_3,Actin_ST_3,Actin_NTC_3,Actin_HC_4,Actin_NC_4,Actin_SC_4,Actin_HT_4,Actin_NT_4,Actin_ST_4,Actin_NTC_4,Actin_HC_5,Actin_NC_5,Actin_SC_5,Actin_HT_5,Actin_NT_5,Actin_ST_5,Actin_HC_6,Actin_NC_6,Actin_SC_6,Actin_HT_6,Actin_NT_6,Actin_ST_6,Actin_HC_7,Actin_NC_7,Actin_SC_7,Actin_HT_7,Actin_NT_7,Actin_ST_7,Actin_HC_8,Actin_NC_8,Actin_SC_8,Actin_HT_8,Actin_NT_8,Actin_ST_8
21,3512.587094,3512.274832,3621.277927,3422.494125,3496.428189,3441.687437,3377.082848,3849.37714,3775.568176,3648.539696,3480.822704,3575.523358,3515.173144,3344.995202,3740.86345,4056.094281,3655.086918,3560.823626,3657.922191,3462.244875,3421.34819,3775.735302,3882.039219,3588.064382,3480.468417,3566.40108,3654.836718,3469.761866,3703.218386,3738.913895,3614.502495,3495.198202,3559.09324,3489.172392,3725.809432,4036.245417,3676.436982,3498.523857,3555.257168,3578.421669,3691.907348,3471.867552,3781.740099,3594.840792,3669.035073,3365.042223,3349.592869,3713.091264,3607.454872,3339.751023,3385.579626,3337.092893
22,3615.77353,3553.234556,3745.721335,3445.367378,3531.446154,3482.740252,3374.445731,4067.926732,3898.562429,3718.418518,3503.631942,3643.066329,3577.336818,3349.363682,3817.05933,4165.640779,3783.366398,3588.179464,3715.906501,3475.661599,3426.080975,3933.840611,4039.11172,3663.145358,3538.70195,3585.489327,3679.470411,3467.541098,3815.548113,3861.001416,3702.686956,3528.224586,3587.063583,3499.462595,3732.491772,4249.718199,3798.742696,3540.932736,3588.888038,3683.985004,3879.495194,3517.122699,4127.432032,3683.505617,3773.597608,3400.299393,3421.034952,4053.498213,3852.025252,3378.281804,3415.374424,3371.92272
23,3813.786007,3625.218409,3974.080047,3491.726781,3607.412195,3566.296348,3377.22835,4466.713497,4132.415736,3852.420868,3554.829182,3764.444597,3693.867232,3351.749993,3968.596664,4387.577538,4030.584161,3648.392924,3837.356835,3508.082862,3427.591573,4236.612727,4346.284304,3803.652914,3650.967978,3618.014657,3736.88059,3469.16677,4031.448865,4099.482206,3874.01111,3599.228657,3658.901317,3520.979148,3736.463264,4660.159992,4022.431653,3617.545288,3651.989791,3895.882582,4228.742671,3599.875169,4749.302967,3854.661672,3981.753168,3465.413773,3571.623601,4679.216228,4300.944869,3460.565907,3475.567879,3438.163004
24,4190.877957,3764.589732,4409.667935,3575.282529,3749.494668,3724.464667,3378.594432,5217.93849,4575.789384,4112.669497,3657.066844,4006.449895,3930.681372,3353.053036,4256.659499,4819.943859,4504.014285,3755.374364,4073.451406,3566.994904,3428.540329,4810.029691,4932.377408,4076.49583,3874.490497,3696.202104,3848.250545,3468.333097,4447.155884,4550.197166,4208.684659,3731.32415,3781.708385,3557.789554,3751.402198,5408.173435,4461.438288,3760.3163,3776.933576,4291.061976,4873.59071,3764.246441,5820.450469,4185.9585,4363.078968,3590.586745,3841.860432,5738.698652,5103.48184,3613.020678,3593.797317,3562.63742
25,4871.766011,4044.220052,5203.802199,3736.703446,4023.16124,4026.423856,3377.812801,6500.264912,5390.388235,4604.156278,3844.403478,4458.716876,4363.933654,3355.033622,4800.324185,5609.751425,5344.539604,3971.610057,4525.864744,3680.960927,3426.746904,5822.442294,5973.197466,4589.832827,4293.4809,3834.791798,4062.338526,3463.599336,5195.930678,5363.002593,4828.491213,3986.027578,4023.276322,3627.335089,3784.335483,6702.864714,5247.117556,4045.825338,4022.014328,5007.364546,5971.717769,4074.817487,7411.294296,4795.037737,5061.927656,3838.910077,4354.487633,7304.229781,6422.525576,3913.802901,3822.417901,3806.509199
26,6026.752558,4567.221842,6531.415971,4052.466383,4540.950855,4586.298605,3378.876273,8438.949601,6754.333798,5494.202122,4208.883331,5270.93978,5158.684088,3351.635517,5771.506659,6978.846162,6730.272585,4385.420357,5338.76496,3904.744369,3427.300944,7450.838455,7659.973299,5508.338415,5055.173174,4108.605469,4477.576986,3468.020485,6477.278484,6732.336245,5902.663682,4469.278364,4493.037579,3770.450074,3841.704018,8669.206788,6549.1699,4579.596474,4486.000707,6200.547647,7601.739767,4662.14142,9395.859552,5827.645745,6232.812192,4291.636452,5250.340316,9242.372679,8265.446738,4460.271168,4243.691901,4258.214733
27,7729.142395,5492.845065,8436.206629,4630.114999,5453.626731,5567.895241,3378.896675,10876.12704,8748.143268,6965.178224,4878.35428,6580.818995,6478.799525,3358.849658,7343.020528,9072.131525,8668.350046,5127.616351,6704.187547,4323.401282,3430.782109,9668.315697,10000.57032,6994.722817,6322.091357,4629.447474,5234.003567,3470.730031,8344.966765,8708.622446,7573.131561,5328.265376,5321.438146,4046.982267,3956.702154,11181.26039,8409.905349,5526.362069,5306.790216,7934.504168,9643.97399,5670.946297,11461.05417,7379.070317,7945.742148,5092.723248,6649.268685,11235.51368,10401.60742,5414.928831,4996.448601,5063.659508
28,9819.061095,6994.753603,10715.47822,5637.919919,6935.602356,7090.913412,3379.980548,13420.24884,11167.07914,9060.247033,6022.142808,8392.754932,8376.10687,3358.026002,9512.180252,11748.70384,10931.51112,6400.612078,8672.490072,5092.515562,3430.427822,12167.88824,12678.91651,9036.695997,8152.46927,5549.995691,6525.931407,3470.188583,10648.65532,11091.0184,9753.25854,6717.990564,6690.229622,4559.193121,4171.008083,13835.08993,10629.97048,7048.473754,6657.411419,10016.15992,11771.90205,7255.627975,13340.12429,9334.694746,10033.5234,6354.919823,8494.753389,13043.74793,12489.32466,6881.819654,6197.836355,6339.834532
29,11963.47282,9066.593238,13009.90801,7204.889373,8956.130033,9067.907764,3378.416678,15739.3277,13632.76572,11513.45332,7749.364666,10472.69258,10642.24789,3362.517996,11987.50177,14597.96612,13152.01172,8285.13721,11036.03206,6358.431245,3437.432796,14582.28368,15286.57653,11362.91319,10334.81197,7037.244277,8460.422684,3474.222183,13013.80175,13492.42416,12104.24538,8630.058139,8629.379863,5452.719259,4595.346166,16269.17071,12855.95598,9139.224477,8557.98985,12107.09727,13730.55376,9327.875115,14897.78561,11402.34507,12172.04952,8051.867447,10509.80229,14529.43191,14298.96761,8779.624834,7829.439837,8069.714706
30,13900.39209,11409.99288,15044.1855,9266.442969,11278.83833,11191.58895,3377.895876,17656.10168,15825.17939,13925.61242,9931.328496,12511.17218,12917.41657,3369.086838,14398.50965,17214.66903,15097.70872,10618.5209,13443.29654,8189.17681,3437.453453,16661.18791,17530.10065,13599.41146,12529.77689,9100.393355,10886.58461,3475.160571,15136.56983,15629.79286,14307.48676,10820.03145,10896.29256,6883.372652,5368.714674,18287.89535,14827.80272,11502.63719,10772.18367,13963.42192,15370.07567,11579.93916,16081.39379,13298.84132,14100.96243,9937.583492,12399.92317,15659.09654,15756.25422,10809.71364,9679.14759,9994.596801
