"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.eff","LRE.eff","LRE.rsq","LRE.base","exp.point","exp.AIC","exp.resVar","exp.RMSE","exp.init","Names"
"H_C_5","1.19636","663.8373","380.365","379.2221","0.3608328","0.3075688","19.14","16.59",NA,NA,NA,NA,NA,NA,"17.17067","10.46247","0.8771162",NA,"-10.02952","10.46247","51.63286","19.53039","l4","1.126139","0.9399092","2.995624","0",NA,"1.244318","0.01001635","0",NA,NA,NA,NA,NA,"H_C_5"
"N_C_5","1.206999","528.2782","371.2284","370.0856","0.4145236","0.3657339","19.24","16.9",NA,NA,NA,NA,NA,NA,"17.52846","10.72509","0.7292834",NA,"-10.95308","10.72509","51.43843","19.56937","l4",NA,NA,NA,NA,"1.015655",NA,NA,NA,"16","101.3772","24.67612","4.47765","1.667458","N_C_5"
"S_C_5","1.307065","646.7426","379.3215","378.1786","0.4531097","0.4075355","18.81","16.61",NA,NA,NA,NA,NA,NA,"16.08888","7.891069","0.1882907",NA,"-11.39779","7.891069","56.42715","19.10226","l4","1.210735","0.9403836","0.8268459","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_5"
"H_T_5","1.248717","446.5074","364.5018","363.3589","0.4300669","0.3825725","20.82","18.77",NA,NA,NA,NA,NA,NA,"15.84444","9.210319","0.2450465",NA,"-13.54889","9.210319","47.13692","21.04673","l4",NA,NA,NA,NA,"1.011033",NA,NA,NA,"18","105.8295","16.10965","3.663974","0.8525615","H_T_5"
"N_T_5","1.214803","718.0097","383.5028","382.36","0.3785125","0.3267219","17.87","15.65",NA,NA,NA,NA,NA,NA,"19.20971","11.86609","0.9141167",NA,"-10.73754","11.86609","56.08599","18.18797","l4","1.168862","0.9559272","1.949184","0",NA,"1.240135","0.05210682","0",NA,NA,NA,NA,NA,"N_T_5"
"S_T_5","1.168671","701.9511","382.5981","381.4552","0.3252952","0.2690698","18.84","16.61",NA,NA,NA,NA,NA,NA,"20.56572","14.08134","1.544462",NA,"-11.27954","14.08134","52.6938","19.14199","l4","1.115468","0.8504288","7.490357","0","0.999975","1.640065","0.4953354","0","16","106.7221","34.4632","5.29163","2367.524","S_T_5"
"H_C_6","1.087757","282.2722","346.1584","345.0155","0.2389748","0.175556","22.1","20.28",NA,NA,NA,NA,NA,NA,"21.97171","18.47635","3.990217",NA,"-16.0969","18.47635","37.75267","22.27085","l4",NA,NA,NA,NA,"0.9468662",NA,NA,NA,"20","137.1502","43.91032","6.109319","8.383551","H_C_6"
"N_C_6","1.267249","651.2096","379.5968","378.4539","0.40294","0.353185","19.8","17.62",NA,NA,NA,NA,NA,NA,"16.29937","8.818431","0.2510387",NA,"-12.08162","8.818431","52.5157","20.07702","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_6"
"S_C_6","1.281849","645.6487","379.2537","378.1109","0.4626547","0.4178759","20.54","18.31",NA,NA,NA,NA,NA,NA,"17.32435","8.910891","0.1837218",NA,"-12.32647","8.910891","58.04076","20.80861","l4","1.086795","0.9339866","5.340113","0",NA,"1.636112","0.7472793","0",NA,NA,NA,NA,NA,"S_C_6"
"H_T_6","1.24436","602.4358","376.4828","375.3399","0.454336","0.408864","18.3","15.73",NA,NA,NA,NA,NA,NA,"16.52851","8.844487","0.5305604",NA,"-9.537144","8.844487","56.77975","18.71277","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_6"
"N_T_6","1.220255","762.9433","385.9309","384.788","0.3548518","0.3010894","17.98","15.71",NA,NA,NA,NA,NA,NA,"18.16457","10.99328","0.7963174",NA,"-10.6089","10.99328","54.34876","18.29928","l4",NA,NA,NA,NA,"0.9128914",NA,NA,NA,"15","86.16131","13.41027","3.275395","3.946082","N_T_6"
"S_T_6","1.164804","603.6236","376.5616","375.4187","0.3682714","0.3156273","18.47","15.93",NA,NA,NA,NA,NA,NA,"19.43385","12.9654","1.710605",NA,"-9.752484","12.9654","52.99797","18.85984","l4","1.021661","0.1461051","13.12789","0","1.068611","1.39251","0.02553567","0","15","84.34616","11.88183","3.083093","0.02364876","S_T_6"
"H_C_7","1.121444","609.9908","376.9813","375.8384","0.292297","0.2333218","20.31","17.95",NA,NA,NA,NA,NA,NA,"22.70248","17.07615","2.901104",NA,"-11.50576","17.07615","50.37336","20.61535","l4","1.078012","0.8651376","11.42441","0","0.9741886","1.976847","0.597308","0","17","118.3168","46.78221","6.206974","5.448204","H_C_7"
"N_C_7","1.29036","545.4589","372.5086","371.3658","0.4565503","0.4112628","18.62","16.31",NA,NA,NA,NA,NA,NA,"14.98031","7.487023","0.2343304",NA,"-10.79956","7.487023","52.63596","18.93994","l4",NA,NA,NA,NA,"1.014388",NA,NA,NA,"16","102.1358","25.87425","4.585066","4.47134","N_C_7"
"S_C_7","1.235395","497.5724","368.8332","367.6903","0.4651212","0.420548","19.37","17.16",NA,NA,NA,NA,NA,NA,"17.7436","10.35671","0.4716857",NA,"-11.68233","10.35671","53.84857","19.65641","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_7"
"*H_T_7*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*H_T_7*"
"N_T_7","1.164923","639.8224","378.8911","377.7483","0.3605325","0.3072435","19.01","16.73",NA,NA,NA,NA,NA,NA,"21.33905","14.64547","1.65968",NA,"-11.1518","14.64547","54.5518","19.31415","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_7"
"S_T_7","1.162798","623.4147","377.852","376.7091","0.3374971","0.2822885","19.47","17.32",NA,NA,NA,NA,NA,NA,"21.09024","14.72802","1.54721",NA,"-12.02941","14.72802","51.87998","19.74581","l4","1.107203","0.6941701","8.851471","0","0.9540209",NA,NA,NA,"17","113.8025","35.87193","5.435218","4.998936","S_T_7"
"H_C_8","1.109841","552.9461","373.0539","371.9111","0.2860343","0.2265371","19.7","17.24",NA,NA,NA,NA,NA,NA,"22.54608","17.34146","3.739188",NA,"-10.73686","17.34146","48.76227","20.04178","l4","1.114352","0.8277584","11.16805","0",NA,"1.244004","0.1381485","0",NA,NA,NA,NA,NA,"H_C_8"
"N_C_8","1.168693","680.8432","381.3768","380.2339","0.3512673","0.2972062","19.83","17.62",NA,NA,NA,NA,NA,NA,"21.59561","14.75724","1.385112",NA,"-11.94927","14.75724","54.82549","20.11238","l4","1.053036","0.5104247","12.79476","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_8"
"S_C_8","1.159632","672.2388","380.8681","379.7252","0.3310941","0.275352","19.08","16.81",NA,NA,NA,NA,NA,NA,"21.11771","14.69314","1.751549",NA,"-11.24487","14.69314","52.98525","19.38289","l4","1.138819","0.7504148","8.219631","0","0.9678322","1.767637","0.3320562","0","16","106.7402","34.50227","5.294629","6.875418","S_C_8"
"*H_T_8*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*H_T_8*"
"N_T_8","1.179155","615.0307","377.3104","376.1675","0.3367943","0.2815272","18.9","16.67",NA,NA,NA,NA,NA,NA,"18.75852","12.53401","1.202578",NA,"-11.32551","12.53401","49.60969","19.20066","l4","1.108379","0.8476814","5.21356","0","0.9040433","1.938473","0.2289979","0","16","100.314","23.08975","4.33133","4.555226","N_T_8"
"S_T_8","1.214095","453.3822","365.1129","363.9701","0.4485888","0.4026378","20.99","18.71",NA,NA,NA,NA,NA,NA,"17.2954","10.42147","0.4587336",NA,"-12.27439","10.42147","50.53503","21.27337","l4","1.193337","0.9556699","0.7478117","0",NA,"1.198311","0.007539561","0",NA,NA,NA,NA,NA,"S_T_8"
