"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","sli.rsq","sli.init","sli.base","LRE.rsq","LRE.base","Names","Pop","Treat","Sample","Gene"
"11","1.000533","4.157346","177.4386","176.2957","0.6837305","0.6573748","4.2","3.86",NA,NA,NA,NA,NA,NA,"3367.848","3366.037","3360.922",NA,"-16.68264","3366.037","3376.164","4.229391","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_2","H","T","2","TLR"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_T_2*","*N","T","2*","TLR"
"13","1.273308","178.753","327.8837","326.7409","0.9999733","0.9999711","38.48","36.48",NA,NA,NA,NA,NA,NA,"6441.783","3400.463","0.9572765",NA,"-25.50235","3400.463","19246.8","38.59541","l4","1.271659","36","1.900164","221.7234","24.18892","4.70884","3.997617e-07","1.067659","0.9954507","1.02124","0","0.5586275","0","S_T_2","S","T","2","TLR"
"14","1.000184","4.795277","183.1488","182.0059","0.9375205","0.9323139","4.25","1",NA,NA,NA,NA,NA,NA,"3308.914","3308.304","3308.304",NA,"-1.845863","3308.304","3338.568","8.200141","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_2","NT","C","2","TLR"
"15","1.128154","378.4089","357.8825","356.7397","0.9980932","0.9979343","40","38.86",NA,NA,NA,NA,NA,NA,"4921.827","3626.691","45.40309",NA,"-25.41274","3626.691","10385.75","41.12484","l4","1.11156","38","1.851814","335.4968","351.6714","17.99744","9.845552e-08",NA,"0.9615488","82.41355","0",NA,NA,"H_C_3","H","C","3","TLR"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_C_3*","*N","C","3*","TLR"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_3*","*S","C","3*","TLR"
"18","1.296667","10.30025","213.7302","212.5874","0.9999798","0.9999782","40","40",NA,NA,NA,NA,NA,NA,"7274.282","3528.851","0.2231761",NA,"-25.50647","3528.851","35074.23","43.27033","l4","1.089236","40","1.850492","324.4809","172.7953","12.64261","1.419492e-07",NA,"0.8792746","184.8319","0",NA,NA,"H_T_3","H","T","3","TLR"
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_T_3*","*N","T","3*","TLR"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_T_3*","*S","T","3*","TLR"
"21","1.211402","20.96056","242.1492","241.0064","0.9998766","0.9998663","40","40",NA,NA,NA,NA,NA,NA,"5563.345","3400.162","2.593053",NA,"-24.74187","3400.162","36669.62","44.55058","l4","1.056421","40","1.85089","271.1408","45.54063","6.490384","8.115896e-08",NA,"0.8644677","511.2821","0",NA,NA,"NT_C_3","NT","C","3","TLR"
"22","1.290714","822.168","388.9213","387.7785","0.9999186","0.9999118","38.28","36.27",NA,NA,NA,NA,NA,NA,"7125.668","3579.668","0.6808048",NA,"-25.19454","3579.668","22101.99","38.4044","l4","1.281134","36","1.865529","332.7567","528.5585","22.01163","1.001962e-06","1.118711","0.9934334","0.9233156","0","0.4124831","0","H_C_4","H","C","4","TLR"
"23","1.282989","254.9802","342.0909","340.9481","0.9999861","0.999985","37.18","35.17",NA,NA,NA,NA,NA,NA,"7736.744","3983.546","1.20882",NA,"-24.55313","3983.546","23650.1","37.30126","l4","1.277053","35","1.881817","267.6101","106.6088","9.872736","1.566057e-06","1.125471","0.9943124","1.471165","0","0.3702299","0","N_C_4","N","C","4","TLR"
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_4*","*S","C","4*","TLR"
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*H_T_4*","*H","T","4*","TLR"
"26","0.01856133","10.82015","215.6999","214.5571","0.7144305","0.690633","40","1",NA,NA,NA,NA,NA,NA,"3546.777","191084.2","191084.2",NA,"0.5283257","3517.367","191084.2","6.29195e-08","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"**N_T_4**","**N","T","4**","TLR"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_T_4*","*S","T","4*","TLR"
"28","1.000087","5.717532","190.185","189.0422","0.8146149","0.7991661","1","40",NA,NA,NA,NA,NA,NA,"3594.444","3577.04","3581.994",NA,"-0.8418578","3577.04","3690.594","304.663","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_4","NT","C","4","TLR"
"29","1.29457","657.3091","379.9697","378.8268","0.9999231","0.9999166","38.75","36.74",NA,NA,NA,NA,NA,NA,"7372.419","3655.461","0.5599088",NA,"-25.45081","3655.461","22980.18","38.87082","l4","1.288518","36","1.896532","323.7644","411.7299","19.42728","4.456595e-07","1.054182","0.9963521","0.677729","0","0.6273964","0","H_C_5","H","C","5","TLR"
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_C_5*","*N","C","5*","TLR"
"31","1.279502","119.807","311.8788","310.7359","0.9999839","0.9999826","38.57","36.54",NA,NA,NA,NA,NA,NA,"6766.528","3485.81","0.8300263",NA,"-25.22856","3485.81","20641.9","38.68946","l4","1.276848","36","1.898855","238.4228","38.46576","5.938037","4.265578e-07","1.070458","0.9959768","0.9108132","0","0.5627586","0","S_C_5","S","C","5","TLR"
"32","1.31198","24.42944","248.2751","247.1322","0.9999657","0.9999628","40","39.98",NA,NA,NA,NA,NA,NA,"7781.383","3450.975","0.1500819",NA,"-25.81968","3450.975","26017.06","42.26936","l4","1.164798","39","1.901539","284.5039","76.09711","8.381139","6.25889e-08",NA,"0.9272617","15.86375","0",NA,NA,"H_T_5","H","T","5","TLR"
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_T_5*","*N","T","5*","TLR"
"34","0.9971126","12.43254","221.2562","220.1133","0.3231564","0.2667528","40","2.07",NA,NA,NA,NA,NA,NA,"3589.71","3600.142","3611.261",NA,"10.53992","3585.99","3600.142","1.877026","l4",NA,"2","0.9505087","-Inf","0","0","188.8871",NA,NA,NA,NA,NA,NA,"**S_T_5**","**S","T","5**","TLR"
"35","1.175869","155.1695","322.2242","321.0814","0.999789","0.9997714","40","38.18",NA,NA,NA,NA,NA,NA,"5425.625","3608.479","11.17255",NA,"-26.08895","3608.479","13076.9","40.34292","l4","1.179654","38","1.88794","314.9511","204.7976","13.73424","1.01154e-07",NA,"0.9830431","10.22302","0",NA,NA,"H_C_6","H","C","6","TLR"
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_C_6*","*N","C","6*","TLR"
"37","1.286632","218.9635","335.9997","334.8569","0.9999871","0.9999861","36.76","34.74",NA,NA,NA,NA,NA,NA,"6821.939","3461.93","1.075148",NA,"-24.07829","3461.93","21088.88","36.8902","l4","1.283225","34","1.908888","202.0428","19.32962","4.198102","1.171288e-06","1.045563","0.9964783","1.203076","0","0.6470367","0","S_C_6","S","C","6","TLR"
