"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_T_2","1.193683","32890.5","536.4811","535.3382","0.9991679","0.9990985","32.23","29.46",NA,NA,NA,NA,NA,NA,"7385.134","4109.734","40.10619",NA,"-15.42279","4109.734","22326.12","32.50642","l4","1.22507","0.9955708","18.4847","0","29","1.90857","271.1472","569.8444","22.60299","3.2965e-05","1.044425","0.5528798","0","H_T_2"
"N_T_2","1.208768","16579.32","509.08","507.9371","0.999355","0.9993012","34.08","31.63",NA,NA,NA,NA,NA,NA,"6962.306","3931.05","17.30804",NA,"-18.41029","3931.05","20331.28","34.2851","l4","1.233843","0.9954418","9.065874","0","31","1.915316","256.6497","197.3271","13.35031","6.858665e-06","1.012148","0.6565047","0","N_T_2"
"S_T_2","1.19926","16963.75","509.9969","508.854","0.9993774","0.9993255","33.61","31.02",NA,NA,NA,NA,NA,NA,"6916.587","3914.414","24.66059",NA,"-17.23324","3914.414","20337.95","33.83612","l4","1.224763","0.9955379","12.95601","0","31","1.827476","247.948","149.0324","11.60215","3.956406e-05","1.374481","0.7278407","0","S_T_2"
"**NT_C_2**","0.7953346","26.83877","252.0374","250.8946","0.7788264","0.7603953","40","1",NA,NA,NA,NA,NA,NA,"3859.495","4852.668","4852.668",NA,"0.2328187","3783.501","4852.668","1.605138e-05","l4","1.00423","1","3243.48","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"**NT_C_2**"
"H_C_3","1.220005","11490.73","494.4154","493.2725","0.9995748","0.9995393","35","32.62",NA,NA,NA,NA,NA,NA,"7627.426","4229.707","11.62142",NA,"-19.50907","4229.707","22485.1","35.18263","l4","1.238933","0.9964666","7.087308","0","32","1.848796","299.9994","593.2074","23.18608","1.237231e-05","1.021166","0.6503595","0","H_C_3"
"N_C_3","1.212351","15321.02","505.9228","504.7799","0.9994942","0.9994521","34.56","32.13",NA,NA,NA,NA,NA,NA,"7835.914","4397.031","16.11047",NA,"-18.85412","4397.031","22975.39","34.75773","l4","1.231818","0.9946941","9.823721","0","32","1.855578","268.0134","218.3242","14.06614","1.474759e-05","1.089635","0.3908005","0","N_C_3"
"*S_C_3*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_3*"
"H_T_3","1.200323","25647.26","526.5312","525.3883","0.9992692","0.9992083","33.11","30.47",NA,NA,NA,NA,NA,NA,"7421.779","4146.529","28.46405",NA,"-16.65605","4146.529","22157.74","33.3492","l4","1.228016","0.9954932","14.14026","0","30","1.911476","286.3682","696.7484","25.04144","1.658939e-05","1.043924","0.5588949","0","H_T_3"
"N_T_3","1.206442","24618.72","524.894","523.7512","0.9992703","0.9992094","33.1","30.51",NA,NA,NA,NA,NA,NA,"7171.797","3967.309","23.38106",NA,"-16.94733","3967.309","21543.08","33.33487","l4","1.234408","0.9952205","11.55995","0","30","1.913885","269.4852","396.889","18.89974","1.513892e-05","1.039336","0.5827987","0","N_T_3"
"S_T_3","1.208861","9667.004","487.5025","486.3596","0.9995508","0.9995133","35.06","32.66",NA,NA,NA,NA,NA,NA,"7117.716","4056.241","14.51891",NA,"-19.34515","4056.241","20497.24","35.24729","l4","1.229422","0.9966369","8.450253","0","32","1.882749","231.1995","69.09948","7.913369","6.227356e-06","1.008702","0.6675363","0","S_T_3"
"**NT_C_3**","0.9963352","10.55308","214.7002","213.5574","0.8679689","0.8569663","40","2.59",NA,NA,NA,NA,NA,NA,"3913.931","3940.851","3951.327",NA,"2.720198","3894.842","3940.851","2.282528","l4",NA,NA,NA,NA,"2","0.9332064","-101.3867","-2.067952e-25","3.215549e-13","210.1537",NA,NA,NA,"**NT_C_3**"
"H_C_4","1.215634","12357.01","497.3227","496.1798","0.9995416","0.9995034","34.45","32.04",NA,NA,NA,NA,NA,NA,"7260.074","4053.574","13.92712",NA,"-18.95323","4053.574","21354.43","34.64327","l4","1.234873","0.9951808","8.551268","0","32","1.822104","295.6049","517.0903","21.64747","2.531165e-05","1.099975","0.354734","0","H_C_4"
"N_C_4","1.209025","22054.96","520.4952","519.3524","0.9994331","0.9993859","33.67","31.11",NA,NA,NA,NA,NA,NA,"8037.938","4427.223","21.90686",NA,"-17.40961","4427.223","24119.11","33.89709","l4","1.231848","0.9954","12.37437","0","31","1.832338","250.9572","164.2246","12.17916","4.203503e-05","1.37568","0.7141917","0","N_C_4"
"*S_C_4*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_4*"
"H_T_4","1.195452","33801.38","537.5738","536.4309","0.9991861","0.9991183","32.33","29.54",NA,NA,NA,NA,NA,NA,"7531.614","4164.396","38.60003",NA,"-15.44943","4164.396","22952.42","32.59752","l4","1.226859","0.9963458","17.791","0","29","1.915241","278.0518","723.0326","25.46048","2.947682e-05","1.432165","0.9168843","0","H_T_4"
"*N_T_4*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_T_4*"
"*S_T_4*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_T_4*"
