,sig.eff,sig.resVar,sig.AICc,sig.AIC,sig.Rsq,sig.Rsq.ad,sig.cpD1,sig.cpD2,sig.cpE,sig.cpR,sig.cpT,sig.Cy0,sig.cpCQ,sig.cpMR,sig.fluo,sig.init1,sig.init2,sig.cf,sig.b,sig.c,sig.d,sig.e,sig.model,sli.eff,sli.rsq,sli.init,sli.base,exp.point,exp.eff,exp.AIC,exp.resVar,exp.RMSE,exp.init,LRE.eff,LRE.rsq,LRE.base,Names
N_T_8,1.25837,18.64787,237.4728,236.3299,0.9999679,0.9999652,40,39.69,NA,NA,NA,NA,NA,NA,6852.683,3508.774,0.7489823,NA,-25.13368,3508.774,20921.65,42.02509,l4,1.148869,0.9311703,26.3977,0,39,1.85679,261.7275,42.4361,6.258736,1.43E-07,NA,NA,NA,N_T_8
S_T_8,1.223585,106.8669,307.3069,306.164,0.9999712,0.9999688,38.74,36.7,NA,NA,NA,NA,NA,NA,5972.956,3531.314,3.630926,NA,-25.09779,3531.314,16249.04,38.86285,l4,1.23398,0.9963511,2.72896,0,36,1.89301,215.5011,20.34944,4.318988,3.23E-07,1.129463,0.2100633,0,S_T_8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rep1,Rep2,Rep.diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_C_1,38.33,39.84,-1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_C_1,36,40,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,*S_C_1*,NA,35.29,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_T_1,40,38.14,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_T_1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S_T_1,36.23,40,-3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_C_2,40,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_C_2,34.59,36.51,-1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,*S_C_2*,NA,34.52,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_T_2,39.74,37.64,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_T_2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S_T_2,37.21,38.29,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_C_3,39.96,39.97,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,*N_C_3*,NA,NA,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,*S_C_3*,NA,36.32,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,**H_T_3**,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_T_3,39.55,40,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S_T_3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_C_4,40,39.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_C_4,36.05,36.3,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S_C_4,36.43,35.42,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_T_4,36.85,40,-3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_T_4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S_T_4,35.46,37.35,-1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_C_5,36.9,38.71,-1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_C_5,37.45,38.11,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,*S_C_5*,NA,NA,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_T_5,37.46,39.61,-2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_T_5,36.77,38.05,-1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S_T_5,40,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_C_6,40,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,*N_C_6*,NA,39.63,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,*S_C_6*,NA,35.21,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_T_6,39.58,39.62,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_T_6,36.09,36.53,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,*S_T_6*,NA,40,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_C_7,40,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_C_7,35.43,38.04,-2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S_C_7,39.71,37.75,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_T_7,39.73,40,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_T_7,37.96,39.74,-1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,*S_T_7*,NA,34.41,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_C_8,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_C_8,37.42,37.48,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S_C_8,38.33,40,-1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H_T_8,37.42,35.36,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N_T_8,39.69,40,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S_T_8,36.7,38.24,-1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
