"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"NT_C_4","1.00028","7.694976","202.0662","200.9234","0.5782044","0.5430548","16.88","16.07",NA,NA,NA,NA,NA,NA,"3551.205","3549.961","3535.24",NA,"-27.75479","3549.961","3556.429","16.92233","l4",NA,NA,NA,NA,"16","0.6950758","65.97183","2.699325","1.480946","8.494644",NA,NA,NA,"NT_C_4"
"H_C_5","1.215638","41072.72","545.3675","544.2246","0.9991995","0.9991328","29.67","26.93",NA,NA,NA,NA,NA,NA,"6774.33","3553.296","35.24423",NA,"-14.3863","3553.296","21694.9","29.95821","l4","1.254241","0.9943401","14.96116","0","26","1.88411","239.3124","483.6469","20.68433","0.0002166366","1.43798","0.7245997","0","H_C_5"
"N_C_5","1.211204","67514.43","565.2474","564.1045","0.9990038","0.9989208","29.51","26.56",NA,NA,NA,NA,NA,NA,"7483.466","3801.968","46.11639",NA,"-13.29126","3801.968","24856.33","29.84878","l4","1.253115","0.9944862","18.10041","0","26","1.905004","200.8429","110.1407","9.870771","0.0002365972","1.482955","0.8904478","0","N_C_5"
"S_C_5","1.212921","64186.9","563.2257","562.0828","0.9990471","0.9989677","29.14","26.19",NA,NA,NA,NA,NA,NA,"7306.267","3701.416","46.57162",NA,"-13.15642","3701.416","24374.16","29.47566","l4","1.254086","0.9936262","19.09452","0","26","1.868791","193.7508","83.84651","8.612312","0.0004622119","1.524247","0.9422441","0","S_C_5"
"H_T_5","1.208768","42297.05","546.5424","545.3996","0.9990102","0.9989277","31.41","28.59",NA,NA,NA,NA,NA,NA,"6784.37","3557.229","30.0138",NA,"-14.80055","3557.229","21658.56","31.69942","l4","1.246172","0.9944315","12.30469","0","28","1.881594","190.7643","44.82421","6.326264","8.035928e-05","1.472984","0.8764958","0","H_T_5"
"N_T_5","1.209106","53069.27","555.6177","554.4748","0.9989896","0.9989054","30.42","27.53",NA,NA,NA,NA,NA,NA,"7019.201","3638.525","37.6742",NA,"-14.02402","3638.525","22813.66","30.72881","l4","1.249044","0.9943711","14.98831","0","27","1.884929","182.1836","41.72713","6.090221","0.0001542236","1.482533","0.8897284","0","N_T_5"
"S_T_5","1.208386","48271.11","551.8271","550.6842","0.9989852","0.9989006","31.4","28.55",NA,NA,NA,NA,NA,NA,"7119.221","3721.713","32.02298",NA,"-14.68595","3721.713","22836.44","31.68853","l4","1.246128","0.9941829","13.01901","0","28","1.890624","191.693","46.33591","6.432056","7.622186e-05","1.4765","0.8852988","0","S_T_5"
"H_C_6","1.242914","32524.53","536.0335","534.8907","0.9992606","0.999199","33.95","31.49",NA,NA,NA,NA,NA,NA,"7933.514","4017.649","8.423949",NA,"-18.27925","4017.649","25244.33","34.15745","l4","1.263896","0.9933444","4.930633","0","31","1.865996","308.8528","1062.984","30.98572","2.070793e-05","1.071286","0.5363817","0","H_C_6"
"N_C_6","1.224561","87565.21","575.6491","574.5062","0.9990035","0.9989205","30.69","27.81",NA,NA,NA,NA,NA,NA,"8691.782","4246.176","31.07244",NA,"-14.15109","4246.176","29379.35","31.00203","l4","1.264829","0.9960017","12.3182","0","27","1.888757","180.1991","38.77011","5.870462","0.000164068","1.472366","0.8521652","0","N_C_6"
"S_C_6","1.216481","67766.12","565.3962","564.2534","0.9990275","0.9989465","29.2","26.27",NA,NA,NA,NA,NA,NA,"7374.449","3705.056","42.85576",NA,"-13.28111","3705.056","24746.98","29.53278","l4","1.255905","0.9929277","18.24879","0","26","1.886335","208.4168","147.3874","11.41846","0.0003562619","1.520991","0.9364705","0","S_C_6"
