"sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names","Pop","Treat","Sample","Gene"
1.219302,"7580.808","477.7785","476.6357","0.9997245","0.9997015","29.69",27.66,NA,NA,NA,NA,NA,NA,"5988.728","3635.404","24.85962",NA,"-19.32545","3635.404","16265.12","29.85227","l4","1.224","0.9969063","23.13635","0","27","1.901301","188.6248","52.96944","6.861774","9.302818e-05","1.131323","0.1890979","0","S_T_4","S","T","4","Actin"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*NT_C_4*","*NT","C","4*","Actin"
1.220738,"8518.415","482.4429","481.3001","0.999688","0.999662","29.47",27.36,NA,NA,NA,NA,NA,NA,"5739.819","3420.25","24.48542",NA,"-18.52953","3420.25","15959.9","29.63971","l4","1.223981","0.9968936","23.42867","0","27","1.805277","264.3386","874.7399","27.88452","0.0004220726","1.037921","0.5750193","0","H_C_5","H","C","5","Actin"
1.205689,"8167.723","480.7613","479.6185","0.9997033","0.9996785","28.19",26.05,NA,NA,NA,NA,NA,NA,"5791.224","3579.477","44.31879",NA,"-17.55412","3579.477","15673.05","28.36886","l4","1.210151","0.9955361","41.37262","0","26","1.788934","225.1192","280.1885","15.74354","0.001087504","1.064305","0.4558254","0","N_C_5","N","C","5","Actin"
1.194905,"6787.905","473.3594","472.2166","0.9996967","0.9996714","28.94",26.84,NA,NA,NA,NA,NA,NA,"5667.309","3615.838","47.61525",NA,"-18.32702","3615.838","14750.3","29.10985","l4","1.202614","0.9961867","41.6401","0","26","1.857426","192.3363","79.40675","8.381195","0.0002516806","1.07782","0.3643352","0","S_C_5","S","C","5","Actin"
1.196015,"5878.98","467.6091","466.4662","0.9997274","0.9997047","28.2",26.12,NA,NA,NA,NA,NA,NA,"5439.45","3471.971","50.7079",NA,"-17.95578","3471.971","14149.55","28.37636","l4","1.20356","0.9960616","44.25048","0","26","1.834184","187.7269","66.50644","7.670243","0.0004997371","1.042597","0.5105332","0","H_T_5","H","T","5","Actin"
1.201327,"5394.601","464.1697","463.0268","0.9997259","0.9997031","30.41",28.32,NA,NA,NA,NA,NA,NA,"5487.107","3434.749","30.43254",NA,"-19.24069","3434.749","14477.7","30.57989","l4","1.209942","0.9970187","25.54149","0","28","1.819227","218.6233","121.2328","10.40402","0.0001712254","1.020889","0.595574","0","N_T_5","N","T","5","Actin"
1.198991,"3203.639","443.3252","442.1824","0.9998179","0.9998027","32.19",29.98,NA,NA,NA,NA,NA,NA,"5559.034","3412.505","24.10446",NA,"-19.32463","3412.505","14942.16","32.358","l4","1.207891","0.995556","19.95686","0","29","1.872326","173.1449","19.41362","4.171968","2.966736e-05","1.075857","0.4033234","0","S_T_5","S","T","5","Actin"
1.208918,"2268.802","429.5238","428.3809","0.9998645","0.9998532","33.87",31.67,NA,NA,NA,NA,NA,NA,"5889.919","3524.634","14.47451",NA,"-20.47639","3524.634","16185.16","34.02849","l4","1.22029","0.9970659","11.02133","0","31","1.832894","292.8045","633.4287","23.91922","2.0851e-05","1.125063","0.2093467","0","H_C_6","H","C","6","Actin"
1.220327,"11774.69","495.3918","494.249","0.9997137","0.9996898","25.94",23.83,NA,NA,NA,NA,NA,NA,"6377.376","3833.751","55.45113",NA,"-16.2923","3833.751","17836.64","26.1365","l4","1.221927","0.9969121","55.94669","0","23","1.878568","144.0694","24.97671","4.660351","0.00158744","1.11359","0.2853483","0","N_C_6","N","C","6","Actin"
1.212893,"8067.705","480.2685","479.1256","0.9997078","0.9996834","28.13",26.03,NA,NA,NA,NA,NA,NA,"5701.134","3488.391","37.50245",NA,"-17.83549","3488.391","15548.83","28.30276","l4","1.215026","0.9951537","37.41299","0","26","1.830454","196.4092","92.87317","9.064052","0.0006235054","1.076597","0.4176202","0","S_C_6","S","C","6","Actin"
1.22272,"7880.557","479.3297","478.1868","0.999689","0.999663","29.55",27.52,NA,NA,NA,NA,NA,NA,"5642.216","3403.552","22.29526",NA,"-19.29307","3403.552","15453.58","29.71058","l4","1.225751","0.9971278","21.53349","0","27","1.846397","185.4777","47.14146","6.473293","0.0002069756","1.013","0.6397193","0","H_T_6","H","T","6","Actin"
1.208162,"7269.88","476.1033","474.9605","0.9996858","0.9996596","28.96",26.91,NA,NA,NA,NA,NA,NA,"5543.183","3447.076","34.18024",NA,"-18.66533","3447.076","14750.62","29.1305","l4","1.21194","0.9957309","32.74856","0","26","1.857109","200.9394","110.5503","9.889108","0.0002474868","1.081724","0.3780744","0","N_T_6","N","T","6","Actin"
1.201556,"6104.382","469.114","467.9712","0.9997066","0.9996822","28.06",26.01,NA,NA,NA,NA,NA,NA,"5250.177","3325.956","44.26243",NA,"-18.122","3325.956","13752.28","28.23237","l4","1.206138","0.9951322","41.27961","0","26","1.825249","187.6889","66.40939","7.664644","0.0005886165","1.060364","0.4488911","0","S_T_6","S","T","6","Actin"
