"Vars","CARM_HC_1","CARM_NC_1","CARM_SC_1","CARM_HT_1","CARM_NT_1","CARM_ST_1","CARM_NTC_1","CARM_HC_2","CARM_NC_2","CARM_SC_2","CARM_HT_2","CARM_NT_2","CARM_ST_2","CARM_NTC_2","CARM_HC_3","CARM_NC_3","CARM_SC_3","CARM_HT_3","CARM_NT_3","CARM_ST_3","CARM_NTC_3","CARM_HC_4","CARM_NC_4","CARM_SC_4","CARM_HT_4","CARM_NT_4","CARM_ST_4","CARM_NTC_4","CARM_HC_5","CARM_NC_5","CARM_SC_5","CARM_HT_5","CARM_NT_5","CARM_ST_5","CARM_HC_6","CARM_NC_6","CARM_SC_6","CARM_HT_6","CARM_NT_6","CARM_ST_6","CARM_HC_7","CARM_NC_7","CARM_SC_7","CARM_HT_7","CARM_NT_7","CARM_ST_7","CARM_HC_8","CARM_NC_8","CARM_SC_8","CARM_HT_8","CARM_NT_8","CARM_ST_8"
"sig.cpT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.Cy0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpCQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.fluo","6559.687","6627.745","6363.774","6540.499","6479.469","6723.745","4770.424","6838.488","6969.146","6737.807","6525.141","7140.022","6923.03","4692.031","6488.303","7220.284","6769.849","6032.47","7192.073","6219.643","4728.109","7050.013","6881.915","7044.099","6772.287","7216.894","7333.79","4380.73","6016.492","6283.864","6206.793","5874.292","6365.14","5946.67","6613.649","7118.93","6391.889","6041.246","6580.891","6290.029","6133.386","5413.882","6168.034","6247.409","6433.303","6269.112","6003.274","6079.268","6192.542","6193.622","6335.379","6104.623"
"sig.init1","3243.707","3310.822","3275.007","3343.573","3316.377","3357.653","3282.688","3403.829","3432.024","3329.249","3280.405","3453.489","3391.159","3279.995","3387.953","3666.307","3372.576","3232.698","3471.637","3307.783","3251.136","3367.257","3363.086","3378.171","3330.96","3521.198","3525.561","3424.333","3213.042","3301.374","3261.658","3184.652","3360.412","3305.305","3496.744","3580.964","3301.851","3230.95","3338.514","3297.147","3176.388","3223.677","3204.593","3349.089","3375.373","3288.087","3139.829","3146.528","3155.957","3171.165","3282.545","3219.119"
"sig.init2","12.56268","14.94287","17.45404","11.56401","18.02781","14.5186","71.96895","13.12604","16.93067","17.08848","16.2054","7.622299","13.57787","94.83809","22.50095","18.47053","18.97255","20.66735","19.2278","11.85078","90.19387","11.07198","14.94846","15.01248","11.34554","13.8231","11.76342","197.3386","25.53539","20.24838","24.55778","20.71791","20.65018","12.0799","5.54132","18.30556","21.33654","17.29879","10.38261","11.87841","18.39627","98.87692","19.14717","26.51588","18.63913","19.0452","20.07996","16.83659","14.97392","13.43373","8.625945","17.31597"
"sig.cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.b","-16.06512","-15.79722","-15.81227","-16.91849","-15.65774","-15.88104","-18.17418","-16.18789","-15.34192","-15.2856","-15.64217","-17.22446","-15.80018","-17.47074","-15.43841","-15.77268","-15.14313","-16.00406","-14.73248","-17.60954","-16.96979","-16.002","-15.52348","-15.23545","-16.32354","-15.79701","-16.00865","-19.74524","-15.3142","-15.78952","-15.17533","-16.18781","-15.8303","-18.54354","-20.04056","-15.57223","-15.36042","-16.51336","-17.12312","-17.31448","-15.7176","-12.77714","-15.66937","-15.36605","-16.04712","-15.90872","-15.61864","-15.93967","-16.01939","-16.41723","-18.02788","-16.2265"
"sig.c","3243.707","3310.822","3275.007","3343.573","3316.377","3357.653","3282.688","3403.829","3432.024","3329.249","3280.405","3453.489","3391.159","3279.995","3387.953","3666.307","3372.576","3232.698","3471.637","3307.783","3251.136","3367.257","3363.086","3378.171","3330.96","3521.198","3525.561","3424.333","3213.042","3301.374","3261.658","3184.652","3360.412","3305.305","3496.744","3580.964","3301.851","3230.95","3338.514","3297.147","3176.388","3223.677","3204.593","3349.089","3375.373","3288.087","3139.829","3146.528","3155.957","3171.165","3282.545","3219.119"
"sig.d","21588.43","21736.45","20427.84","20911.38","20882.15","22043.23","11370.85","22370.15","23119.76","22317.28","21336.65","23586","22968.8","11000.43","20692.09","23349.07","22370.54","18706.59","24356.43","19193.58","11363.67","23734.14","22953.82","23867.38","22328.16","23991.92","24579.8","8547.265","18818.72","19864.21","19693.1","18059.95","20035.34","17624.86","20186.92","23283.75","20506.37","18703.06","21064.86","19665.89","19601.45","15861.84","19636.77","19533.91","20296","19781.41","19058.14","19390.95","19974.66","19847.73","19879.17","19154.9"
"sig.e","33.15678","32.93409","33.09537","34.75435","33.15978","33.77372","38.66308","33.21635","32.31559","32.18594","32.87076","34.89144","33.56635","38.52313","32.19225","32.65613","32.22602","33.35304","31.77209","34.97519","38.69898","32.43189","32.05826","32.0613","33.62858","33.52108","33.77056","39.49677","31.86889","32.43952","32.13576","33.11046","33.43118","35.78665","35.93352","32.37989","31.73847","33.65193","34.26821","34.36691","32.146","32.806","32.50364","32.35204","33.4355","33.16572","31.59464","32.38178","32.44328","33.03958","34.84378","33.42878"
"sig.model","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4"
"sli.eff","1.264183","1.260644","1.251784","1.24963","1.251078","1.252469","1.139069","1.262746","1.263194","1.264449","1.257995","1.26743","1.257956","1.127994","1.249791","1.255762","1.260725","1.237175","1.264006","1.243933","1.130258","1.273911","1.271192","1.273888","1.262283","1.260674","1.26383","1.113201","1.245095","1.247073","1.246239","1.239495","1.239489","1.23217","1.25242","1.258912","1.255535","1.242856","1.256009","1.247168","1.254557","1.143241","1.248979","1.238716","1.242211","1.246113","1.255394","1.253309","1.259239","1.259128","1.256046","1.242457"
"sli.rsq","0.992144","0.9918801","0.9919174","0.990864","0.992149","0.9903292","0.9993993","0.9920583","0.9918132","0.9926135","0.991775","0.9915695","0.9904815","0.9995859","0.9919245","0.9907438","0.9925064","0.9902706","0.9899674","0.9917153","0.9999278","0.9893287","0.9926933","0.9926097","0.9903686","0.9911425","0.9904064","0.999471","0.9928171","0.9897043","0.9920658","0.991545","0.9902143","0.9921964","0.9898643","0.9908744","0.9920452","0.9918564","0.9906763","0.9898986","0.9924438","0.9962038","0.99011","0.99046","0.9897535","0.992403","0.9929053","0.9905439","0.991084","0.992803","0.9926667","0.9894942"
"sli.init","5.523384","6.403273","7.388055","5.431836","7.60127","6.608211","47.11943","5.866897","7.432808","7.162517","6.837532","3.617498","6.343394","68.14286","9.681791","8.257844","7.844638","9.504481","8.559662","5.626902","63.22978","5.576399","6.355534","6.178817","5.274566","6.238039","5.411123","86.29064","10.64163","9.21722","10.254","9.065516","9.410308","6.073924","3.681728","8.231848","9.061986","7.523553","5.169366","5.896871","8.155604","113.1019","8.565398","11.81762","8.813221","8.214251","8.690889","7.717222","6.72708","5.952229","4.237913","8.081023"
"sli.base","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"exp.point","30","29","30","31","30","30","35","30","29","29","29","31","30","35","29","29","29","30","28","32","35","29","29","29","30","30","30","36","28","29","29","30","30","33","33","29","28","30","31","31","29","29","29","29","30","30","28","29","29","30","32","30"
"exp.eff","1.840197","1.863749","1.834412","1.848834","1.844987","1.859958","1.690246","1.849667","1.848048","1.864097","1.88302","1.874492","1.859887","1.692574","1.848336","1.881548","1.858187","1.84882","1.861286","1.844013","1.668356","1.867282","1.859135","1.860071","1.883775","1.891118","1.882988","1.645401","1.84524","1.867798","1.843415","1.845583","1.846726","1.840486","1.851346","1.866442","1.863357","1.846197","1.862593","1.864114","1.846433","1.669031","1.875857","1.830051","1.844313","1.845822","1.827772","1.864637","1.86763","1.859674","1.845986","1.861547"
"exp.AIC","282.6967","258.3354","261.9672","274.1973","247.76","244.9524","310.4922","275.3466","246.3662","214.379","208.4114","248.5078","253.5502","287.0206","260.543","219.211","216.3992","241.3586","248.1256","259.1341","297.3523","267.4288","219.4509","221.747","222.9241","196.7392","214.7321","290.6417","258.8495","222.6246","228.9711","244.9712","249.9823","259.6653","315.3215","228.5037","236.6735","256.2967","240.3572","230.1567","263.2864","295.2206","208.1601","262.5069","255.2459","240.5265","277.6763","245.9851","217.8665","230.4285","265.5115","223.2737"
"exp.resVar","616.4891","366.3453","308.9117","347.5529","192.3823","175.1943","362.9884","482.5275","242.462","80.46627","65.50062","151.748","233.3388","185.6294","395.3227","95.05531","86.27159","155.4155","347.7095","165.4225","249.3714","501.2692","95.8449","103.7421","84.06754","35.12071","63.97881","164.0699","509.9747","106.9294","133.0888","175.3044","207.174","132.1125","713.5176","130.961","230.9873","255.709","116.6642","83.95254","434.5452","1306.988","64.93562","423.0206","246.9074","151.164","998.9948","239.2969","90.74916","107.9606","201.9049","85.0529"
"exp.RMSE","23.55505","18.12312","16.67395","17.71775","13.15842","12.55686","18.21744","20.83926","14.7438","8.493655","7.663204","11.70738","14.49155","13.0276","18.82624","9.231576","8.794711","11.82683","17.61973","12.24394","15.09956","21.19938","9.269839","9.644177","8.698321","5.622156","7.58821","12.26366","21.33857","9.791207","10.92342","12.56081","13.65491","10.95912","25.46865","10.83574","14.36101","15.1703","10.26519","8.707933","19.73809","34.2313","7.630081","19.4746","14.90693","11.66394","29.86569","14.64726","9.020051","9.857209","13.52687","8.749149"
"exp.init","5.704158e-05","4.711211e-05","6.205482e-05","1.842236e-05","5.325066e-05","3.178578e-05","1.994788e-05","4.85697e-05","9.391045e-05","7.651355e-05","3.645681e-05","1.247178e-05","3.765241e-05","2.079306e-05","8.637385e-05","4.498447e-05","8.341067e-05","3.832055e-05","0.000120442","1.463022e-05","3.511743e-05","6.296435e-05","8.816111e-05","9.396611e-05","2.278175e-05","2.493987e-05","2.469977e-05","1.866961e-05","9.910763e-05","5.1965e-05","9.3816e-05","4.291352e-05","4.188058e-05","8.225149e-06","6.492215e-06","6.671887e-05","8.960748e-05","3.193972e-05","1.88262e-05","1.576177e-05","8.351558e-05","0.001435189","4.473683e-05","9.871421e-05","4.283869e-05","4.763113e-05","0.0001461142","5.407473e-05","5.119785e-05","3.910834e-05","1.521717e-05","3.024293e-05"
"LRE.eff","1.43856","1.465457","1.432578","1.465248","1.430538","1.484691","1.180791","1.426043","1.426307","1.443375","1.476352","1.474766","1.51083","1.172715","1.413502","1.493163","1.439335","1.376019","1.509456","1.412664","1.16196","1.409597","1.462398","1.477036","1.507427","1.517877","1.502437","1.013564","1.445019","1.060317","1.423544","1.398793","1.377742","1.401358","1.386095","1.404958","1.477497","1.464066","1.400753","1.061128","1.414259","1.030474","1.059792","1.379574","1.375028","1.411499","1.483471","1.064295","1.057012","1.432716","1.435924","1.369189"
"LRE.rsq","0.6489207","0.7417794","0.6705709","0.8040476","0.6844039","0.861841","0.5961929","0.6223141","0.6171822","0.6706695","0.7974128","0.7587939","0.8704227","0.3595161","0.6247403","0.8359719","0.6796873","0.5354633","0.8573403","0.6400929","0.4209193","0.4935381","0.6993904","0.7371056","0.8620416","0.876246","0.8645601","0.6100105","0.7487529","0.4624887","0.672326","0.6054714","0.5329705","0.6774138","0.5080642","0.5567092","0.7823431","0.8107455","0.5539318","0.4548751","0.6223778","0.3104162","0.4702636","0.5495152","0.5170339","0.6477132","0.801286","0.4942688","0.5366913","0.6657966","0.6820023","0.4841873"
"LRE.base","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
