"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","exp.eff","LRE.eff","sli.rsq","sli.init","sli.base","LRE.rsq","LRE.base","exp.point","exp.AIC","exp.resVar","exp.RMSE","exp.init","Names"
"S_C_6","1.320417","522.9666","370.8242","369.6814","0.5126856","0.472076","22.62","20.89",NA,NA,NA,NA,NA,NA,"18.90276","10.14596","0.05686873",NA,"-17.38499","10.14596","58.03884","22.76881","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_6"
"H_T_6","1.33316","472.6829","366.7805","365.6377","0.5387505","0.500313","23.75","22.21",NA,NA,NA,NA,NA,NA,"20.08847","11.13556","0.03383053",NA,"-20.49122","11.13556","58.98577","23.86062","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_6"
"N_T_6","1.310246","358.1312","355.6795","354.5366","0.546267","0.5084559","24.8","23.41",NA,NA,NA,NA,NA,NA,"20.2209","12.15555","0.03618879",NA,"-23.6203","12.15555","54.53259","24.88991","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_6"
"S_T_6","1.310363","297.7575","348.2947","347.1518","0.5383584","0.4998883","25.39","23.97",NA,NA,NA,NA,NA,NA,"18.08537","10.76946","0.02776222",NA,"-23.70401","10.76946","49.0909","25.47572","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_6"
"H_C_7","1","87.83444","299.4617","298.3188","0.5619473","0.5254429","28.84","19.59",NA,NA,NA,NA,NA,NA,"14.70245","14.70245","14.70245",NA,"-80.64695","14.70245","36.8252","28.84389","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_7"
"N_C_7","1.280581","484.4144","367.7611","366.6183","0.5244416","0.4848117","22.43","20.77",NA,NA,NA,NA,NA,NA,"21.20673","12.58705","0.1246314",NA,"-18.01152","12.58705","59.58606","22.56561","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_7"
"S_C_7","1.265153","516.1084","370.2962","369.1533","0.4791694","0.4357668","22.35","20.38",NA,NA,NA,NA,NA,NA,"18.51786","10.48311","0.1534328",NA,"-15.10044","10.48311","55.42949","22.54533","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_7"
"H_T_7","1.341841","449.0808","364.7316","363.5888","0.5141683","0.4736824","24.14","22.71",NA,NA,NA,NA,NA,NA,"19.27313","10.88903","0.0242582",NA,"-22.40851","10.88903","55.19172","24.23341","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_7"
"N_T_7","1.226305","71.75481","291.3737","290.2309","0.4993826","0.4576645","30.32","29.76",NA,NA,NA,NA,NA,NA,"18.07645","14.34725","0.04172776",NA,"-71.80731","14.34725","32.73208","30.33266","l4",NA,"1.025059",NA,NA,NA,NA,NA,NA,"29","215.472","83.55709","8.655244","1.928703","N_T_7"
"S_T_7","1.290777","461.6859","365.8389","364.6961","0.5121945","0.4715441","23.03","21.26",NA,NA,NA,NA,NA,NA,"18.86593","10.60412","0.08298092",NA,"-17.2585","10.60412","55.73574","23.18475","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_7"
"H_C_8","1.322268","336.8409","353.2279","352.0851","0.5402181","0.501903","24","22.51",NA,NA,NA,NA,NA,NA,"17.81854","10.20216","0.03311107",NA,"-21.31153","10.20216","50.70972","24.10944","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_8"
"N_C_8","1.416571","273.4815","344.8929","343.75","0.4676355","0.4232718","26.21","25.37",NA,NA,NA,NA,NA,NA,"16.39489","10.15818","0.002386651",NA,"-41.24287","10.15818","41.51616","26.24169","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_8"
"S_C_8","1.383105","448.1234","364.6463","363.5034","0.5448868","0.5069607","23.59","22.05",NA,NA,NA,NA,NA,NA,"17.80223","8.996641","0.01395132",NA,"-20.29618","8.996641","56.12758","23.70713","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_8"
"H_T_8","1.321951","299.3069","348.5023","347.3594","0.5444339","0.5064701","25.51","24.05",NA,NA,NA,NA,NA,NA,"17.46302","10.07039","0.02122704",NA,"-23.13414","10.07039","49.10425","25.61005","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_8"
"N_T_8","1.271163","395.4889","359.6484","358.5056","0.4433023","0.3969108","25.74","24.46",NA,NA,NA,NA,NA,NA,"20.43506","13.42424","0.05775807",NA,"-26.604","13.42424","49.84056","25.81435","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_8"
"S_T_8","1.368344","311.3572","350.0811","348.9383","0.5493365","0.5117812","25.78","24.48",NA,NA,NA,NA,NA,NA,"17.62902","9.955454","0.008169044",NA,"-26.38265","9.955454","49.97497","25.85202","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_8"
