"Vars","TLR2.1_HC_1","TLR2.1_NC_1","TLR2.1_SC_1","TLR2.1_HT_1","TLR2.1_NT_1","TLR2.1_ST_1","TLR2.1_NTC_1","TLR2.1_HC_2","TLR2.1_NC_2","TLR2.1_SC_2","**TLR2.1_HT_2**","TLR2.1_NT_2","TLR2.1_ST_2","TLR2.1_NTC_2","TLR2.1_HC_3","TLR2.1_NC_3","TLR2.1_SC_3","TLR2.1_HT_3","TLR2.1_NT_3","TLR2.1_ST_3","TLR2.1_NTC_3","TLR2.1_HC_4","TLR2.1_NC_4","TLR2.1_SC_4","TLR2.1_HT_4","TLR2.1_NT_4","TLR2.1_ST_4","TLR2.1_NTC_4","TLR2.1_HC_5","TLR2.1_NC_5","TLR2.1_SC_5","TLR2.1_HT_5","TLR2.1_NT_5","TLR2.1_ST_5","TLR2.1_HC_6","TLR2.1_NC_6","TLR2.1_SC_6","TLR2.1_HT_6","TLR2.1_NT_6","TLR2.1_ST_6","TLR2.1_HC_7","TLR2.1_NC_7","TLR2.1_SC_7","TLR2.1_HT_7","TLR2.1_NT_7","TLR2.1_ST_7","TLR2.1_HC_8","TLR2.1_NC_8","TLR2.1_SC_8","TLR2.1_HT_8","TLR2.1_NT_8","TLR2.1_ST_8"
"sig.cpT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.Cy0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpCQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.fluo","3626.795","5859.304","4253.64","3306.887","5534.518","5694.608","3331.773","3595.91","6991.921","6478.994","3393.982","5886.825","5625.68","3968.198","3527.336","7408.155","6848.513","6771.316","6038.167","5848.757","3566.806","6902.692","6886.426","5025.072","6546.249","6793.718","6614.696","6964.371","6076.015","6217.783","6222.2","5911.524","5622.783","6281.983","6879.034","6461.05","6156.118","4925.641","6082.553","6179.917","4665.821","6213.959","5732.641","3460.692","5370.358","5294.556","5796.08","5780.361","5735.178","3279.573","3213.235","6190.572"
"sig.init1","-47820.47","3364.612","3280.921","3213.15","3206.608","3298.119","3212.795","-75223.83","3672.061","3509.931","3393.671","3311.072","3298.411","3194.737","-3239.03","3839.04","3645.191","3355.957","3359.072","3190.989","3118.709","3680.888","3678.737","3437.253","3476.375","3451.717","3669.4","3407.385","3433.032","3526.331","3501.685","3422.874","3283.348","3390.944","3558.312","3648.846","3442.863","3442.508","3347.04","3264.213","3503.998","3447.76","3341.217","3266.025","3205.544","3196.663","3327.25","3290.618","3256.616","3113.465","3144.526","3159.086"
"sig.init2","3601.569","2.28219","118.1519","3278.574","2.391486","3.124294","3290.868","3583.098","1.793253","2.062878","3393.671","1.776514","4.77862","190.507","3502.34","0.8259407","1.556692","0.4005959","1.860806","1.517481","441.1022","1.231279","1.968392","46.11531","1.056026","0.6855678","1.743816","0.5548028","2.177698","3.768371","2.004922","2.550273","2.668221","1.355749","0.4619204","2.133134","3.082141","14.89539","1.487795","1.119824","51.20794","2.726713","4.003523","1636.099","4.058141","4.096437","3.040232","2.532949","2.71395","3259.737","3186.228","0.7522055"
"sig.cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.b","-0.2470655","-25.50437","-22.2746","-0.3072152","-25.45673","-24.65261","-0.3440348","-0.4041667","-23.63971","-24.01352","-1.455344","-25.55323","-23.58748","-22.11813","-0.1420339","-25.72712","-24.45907","-23.28361","-25.08146","-24.62147","-20.52411","-25.3217","-23.85836","-20.48206","-25.34148","-25.23289","-25.47654","-24.70979","-25.13007","-23.50835","-25.28413","-25.4751","-25.45226","-24.84486","-23.06988","-25.3433","-23.63766","-23.49573","-25.21147","-24.63321","-22.09175","-23.79342","-24.06457","-15.80947","-24.77721","-25.07918","-24.41031","-24.76437","-24.40432","-0.1274979","-0.3937557","-24.75149"
"sig.c","-47820.47","3364.612","3280.921","3213.15","3206.608","3298.119","3212.795","-75223.83","3672.061","3509.931","3393.671","3311.072","3298.411","3194.737","-3239.03","3839.04","3645.191","3355.957","3359.072","3190.989","3118.709","3680.888","3678.737","3437.253","3476.375","3451.717","3669.4","3407.385","3433.032","3526.331","3501.685","3422.874","3283.348","3390.944","3558.312","3648.846","3442.863","3442.508","3347.04","3264.213","3503.998","3447.76","3341.217","3266.025","3205.544","3196.663","3327.25","3290.618","3256.616","3113.465","3144.526","3159.086"
"sig.d","3727.843","16348.02","8411.126","7576.799","15328.63","15821.6","43453.81","3627.12","21064.76","19046.4","7929376","16720.75","15523.14","7284.532","3706.015","22423.5","20426.13","54235.97","17362.52","17055.66","41259376","20455.76","20552.94","11911.26","19478.6","20842.12","18981.15","22000.91","17233.9","17666.5","17699.24","16392.68","15475.25","18519.23","41084456","18330.67","17720.93","185869506","17582.8","18518.23","70740319","17925.71","15891.23","23665797","14536.13","14148.22","16275.32","16279.51","16246.65","5450.024","16009.43","18960.41"
"sig.e","4.427119e-10","38.70947","38.43654","10013314","39.21187","37.85985","891048986","1.527159e-07","37.05626","37.05064","122501.2","38.65303","36.84311","40.19","3.090649e-10","39.09336","37.58503","44.78654","37.8754","41.30494","69.81157","38.08041","37.00089","37.45942","39.7637","40.59569","38.57226","40.90831","38.38822","36.59581","39.08299","38.78863","39.20322","41.13063","60.17974","39.06796","36.69294","65.9229","40.69311","41.22493","65.86187","37.00789","37.10451","83.88567","37.77749","39.33476","38.00544","37.84667","37.35745","22718690909","23293251","41.174"
"sig.model","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4"
"sli.eff",NA,"1.247026","1.129142",NA,"1.254663","1.242595",NA,NA,"1.269478","1.262864","1.010118","1.253698","1.237907","1.111647",NA,"1.276284","1.266903","1.086901","1.258156","1.20095",NA,"1.26976","1.267071","1.164065","1.274836","1.259519","1.257065","1.255377","1.248628","1.248091","1.24868","1.243967","1.252167","1.213926","1.078497","1.248498","1.253221","1.037446","1.229624","1.215302",NA,"1.254184","1.239264",NA,"1.234772","1.237376","1.242762","1.248763","1.246746",NA,NA,"1.228196"
"exp.eff",NA,"1.853558","1.742791",NA,"1.834683","1.859884",NA,NA,"1.862942","1.865354",NA,"1.867682","1.881454","1.653769",NA,"1.895799","1.871148","1.784889","1.872574","1.849213","1.689487","1.845356","1.886017","1.835141","1.863235","1.851391","1.867904","1.835389","1.84384","1.860552","1.845965","1.877002","1.838308","1.852128","1.813373","1.867802","1.854727","1.830797","1.849031","1.846279","1.766154","1.863778","1.858608","1.481778","1.862074","1.827598","1.821232","1.867397","1.865643",NA,NA,"1.852748"
"LRE.eff",NA,"1.008126","1.05843",NA,"1.086337","1.137807",NA,NA,"1.009173","1.142892",NA,"1.026853","1.143032",NA,NA,"1.153157","1.068553",NA,"1.150549",NA,NA,"1.13335","1.008201","1.050642","1.052827","1.015126","1.045118",NA,"1.066601","1.042448","1.119185","1.14589","1.083906",NA,NA,"1.120166","1.032574",NA,NA,NA,NA,"1.140303","1.098966",NA,"1.132247","1.054868","1.122058","1.145838","1.073769",NA,NA,NA
