"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"N_C_6","1.239159","3766.847","449.8033","448.6604","0.9999221","0.9999156","31.29","29.17",NA,NA,NA,NA,NA,NA,"7723.732","4354.238","14.83586",NA,"-19.51417","4354.238","22423.44","31.45719","l4","1.248107","0.993408","12.13658","0","29","1.879065","217.9309","90.95093","9.030073","6.362813e-05","1.078937","0.4650837","0","N_C_6"
"S_C_6","1.247682","1698.825","417.9512","416.8084","0.9999203","0.9999136","34.72","32.7",NA,NA,NA,NA,NA,NA,"6583.397","3713.504","4.740779",NA,"-22.8209","3713.504","18866.3","34.85113","l4","1.25659","0.9958732","3.842463","0","32","1.911584","187.7917","17.79742","4.016082","3.514541e-06","1.00052","0.7068192","0","S_C_6"
"H_T_6","1.23958","2263.199","429.4249","428.282","0.9998897","0.9998805","35.06","33.04",NA,NA,NA,NA,NA,NA,"6879.675","3946.085","5.698777",NA,"-22.93622","3946.085","19372.52","35.19454","l4","1.247051","0.9932749","4.823916","0","33","1.870834","236.7969","66.06718","7.749908","5.553726e-06","1.091422","0.406747","0","H_T_6"
"N_T_6","1.247499","3818.742","450.3506","449.2077","0.9999255","0.9999193","27.51","25.4",NA,NA,NA,NA,NA,NA,"6720.888","3764.683","24.43458",NA,"-17.3234","3764.683","19945.32","27.69442","l4","1.257283","0.9954385","20.30932","0","25","1.874827","171.1077","45.34332","6.316813","0.0006421464","1.044421","0.5961481","0","N_T_6"
"S_T_6","1.234333","1920.747","422.8623","421.7194","0.9999013","0.999893","34.35","32.31",NA,NA,NA,NA,NA,NA,"6318.663","3662.824","7.021798",NA,"-22.3062","3662.824","17676.08","34.48487","l4","1.244825","0.9945746","5.419026","0","32","1.878445","214.6966","41.25746","6.114701","7.062225e-06","1.044763","0.5679007","0","S_T_6"
"H_C_7","1.244167","4003.787","452.2434","451.1005","0.9998364","0.9998228","34.37","32.3",NA,NA,NA,NA,NA,NA,"6802.511","3824.967","5.862582",NA,"-22.06779","3824.967","19608","34.50732","l4","1.253347","0.9941907","4.677301","0","32","1.865471","304.0003","672.2106","24.68179","9.820485e-06","1.057636","0.5506202","0","H_C_7"
"N_C_7","1.23681","2444.164","432.5019","431.359","0.9999172","0.9999103","32.78","30.73",NA,NA,NA,NA,NA,NA,"6786.997","3904.819","9.890232",NA,"-21.12557","3904.819","19212.68","32.93078","l4","1.249323","0.9955205","7.416465","0","30","1.924499","197.5763","36.1145","5.701144","1.033876e-05","1.13644","0.2127218","0","N_C_7"
"S_C_7","1.243505","4181.445","453.98","452.8371","0.9998428","0.9998297","33.55","31.45",NA,NA,NA,NA,NA,NA,"6565.703","3673.739","6.928153",NA,"-21.22607","3673.739","19072.92","33.69631","l4","1.255975","0.9953192","5.119978","0","31","1.90595","210.8427","45.02505","6.37713","8.500617e-06","1.039649","0.6050033","0","S_C_7"
"H_T_7","1.221396","1912.634","422.693","421.5501","0.9999238","0.9999174","32.23","30.15",NA,NA,NA,NA,NA,NA,"6327.936","3765.633","15.22434",NA,"-20.51534","3765.633","17420.93","32.38239","l4","1.2342","0.9933599","11.24696","0","30","1.883426","212.3677","59.13006","7.295002","2.438621e-05","1.056747","0.5024638","0","H_T_7"
"N_T_7","1.235054","1020.545","397.5672","396.4244","0.9999439","0.9999392","34.38","32.39",NA,NA,NA,NA,NA,NA,"6191.999","3628.826","6.639307",NA,"-22.89282","3628.826","17146.11","34.51163","l4","1.245165","0.9952802","5.194732","0","32","1.881171","214.7352","41.30728","6.118392","6.243711e-06","1.027923","0.6151716","0","N_T_7"
"S_T_7","1.232741","1273.037","406.4099","405.2671","0.9999066","0.9998988","35.42","33.41",NA,NA,NA,NA,NA,NA,"5998.385","3508.398","5.520832",NA,"-23.31039","3508.398","16574.68","35.54865","l4","1.243506","0.9950846","4.202177","0","33","1.890505","201.5539","22.70765","4.543492","2.715346e-06","1.026617","0.6171998","0","S_T_7"
"H_C_8","1.229888","1640.424","416.5519","415.4091","0.9999311","0.9999254","31.11","29.11",NA,NA,NA,NA,NA,NA,"5764.36","3429.683","13.956",NA,"-20.60308","3429.683","15878.06","31.2568","l4","1.237582","0.9932826","11.83721","0","29","1.837253","274.1888","632.8575","23.81994","8.667955e-05","1.061139","0.4911253","0","H_C_8"
"N_C_8","1.21314","1619.104","416.0287","414.8858","0.9998876","0.9998783","34.38","32.33",NA,NA,NA,NA,NA,NA,"5876.173","3581.161","11.3829",NA,"-22.20242","3581.161","15689.36","34.51653","l4","1.228582","0.9951659","7.683006","0","32","1.869809","279.632","313.896","16.86619","6.953823e-06","1.018497","0.6128838","0","N_C_8"
"S_C_8","1.225716","2588.268","434.7933","433.6504","0.999858","0.9998462","33.69","31.65",NA,NA,NA,NA,NA,NA,"5939.75","3520.655","9.467295",NA,"-21.8543","3520.655","16353.34","33.8362","l4","1.241405","0.9955245","6.460693","0","31","1.893264","256.4719","196.1986","13.31209","7.697259e-06","1.132005","0.1980549","0","S_C_8"
"H_T_8","1.229652","1030.63","397.9605","396.8177","0.9999294","0.9999235","35.2","33.2",NA,NA,NA,NA,NA,NA,"6126.175","3629.045","6.40361",NA,"-23.36959","3629.045","16791.65","35.32802","l4","1.239046","0.9936463","5.056759","0","33","1.885823","241.1011","75.27153","8.272162","3.352001e-06","1.053911","0.5266316","0","H_T_8"
"N_T_8","1.226849","452.7083","365.0534","363.9106","0.999932","0.9999263","37.49","35.54",NA,NA,NA,NA,NA,NA,"6001.38","3604.535","4.193887",NA,"-25.43378","3604.535","16106.67","37.60862","l4","1.237739","0.9958179","3.139142","0","35","1.875482","245.7956","57.16234","7.229295","8.93853e-07","1.144205","0.1409502","0","N_T_8"
"S_T_8","1.22477","1071.553","399.5181","398.3752","0.999935","0.9999295","33.55","31.53",NA,NA,NA,NA,NA,NA,"5635.455","3366.649","9.431341",NA,"-22.00141","3366.649","15409.4","33.69401","l4","1.239228","0.9957875","6.646643","0","31","1.902018","170.6633","12.31858","3.335635","6.830985e-06","1.148082","0.131709","0","S_T_8"
