"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"N_T_2","1.211141","28058.42","530.1253","528.9824","0.9990613","0.9989831","34.18","31.56",NA,NA,NA,NA,NA,NA,"7212.09","3889.723","17.07787",NA,"-17.29943","3889.723","22018.87","34.40753","l4","1.238863","0.9936387","8.311982","0","31","1.885369","201.6879","33.51193","5.501712","1.242482e-05","1.044993","0.5301296","0","N_T_2"
"S_T_2","1.222099","30309.23","533.2118","532.069","0.9990682","0.9989906","34.51","31.95",NA,NA,NA,NA,NA,NA,"7549.097","3976.908","12.44066",NA,"-17.85185","3976.908","23388.97","34.72989","l4","1.24961","0.9949261","6.122262","0","31","1.930041","218.2258","57.133","7.183592","5.239561e-06","1.441087","0.796488","0","S_T_2"
"NT_C_2","1.000095","6.566522","195.7229","194.58","0.8694244","0.8585431","6","1",NA,NA,NA,NA,NA,NA,"3523.088","3522.752","3522.752",NA,"-1.574216","3522.752","3548.378","15.55541","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_2"
"H_C_3","1.21491","40892.83","545.1919","544.0491","0.9990153","0.9989332","33.09","30.42",NA,NA,NA,NA,NA,NA,"7555.639","3988.131","20.25057",NA,"-16.43665","3988.131","23609.46","33.335","l4","1.244131","0.9917071","9.688131","0","30","1.887788","280.2345","567.912","22.60798","2.580541e-05","1.370465","0.5320041","0","H_C_3"
"N_C_3","1.239389","58598.93","559.5824","558.4395","0.9990658","0.998988","33.78","31.17",NA,NA,NA,NA,NA,NA,"9112.85","4490.686","11.33374",NA,"-17.20387","4490.686","29803.18","34.00733","l4","1.26774","0.9945497","5.599132","0","31","1.877576","267.1926","277.2608","15.82495","2.438251e-05","1.443589","0.7359314","0","N_C_3"
"S_C_3","1.222947","63180.06","562.5933","561.4504","0.9989343","0.9988455","32.31","29.52",NA,NA,NA,NA,NA,NA,"8057.863","4029.197","21.18075",NA,"-15.38793","4029.197","26470.99","32.58404","l4","1.256928","0.9924887","9.224651","0","29","1.904665","221.4367","102.6379","9.592716","3.992425e-05","1.505822","0.9131545","0","S_C_3"
"*H_T_3*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*H_T_3*"
"N_T_3","1.214253","48319.04","551.8668","550.7239","0.9989593","0.9988725","33.04","30.25",NA,NA,NA,NA,NA,NA,"7762.768","3992.547","21.8609",NA,"-15.71839","3992.547","24889.13","33.30754","l4","1.247678","0.9940997","9.608501","0","30","1.884333","258.6789","276.8417","15.78472","3.205279e-05","1.401713","0.6923123","0","N_T_3"
"*S_T_3*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_T_3*"
"**NT_C_3**","1.000032","4.593826","181.4321","180.2892","0.566937","0.5308484","27.14","11.66",NA,NA,NA,NA,NA,NA,"3643.202","3642.637","3641.846",NA,"-2.676155","3642.637","3655.105","36.40064","l4",NA,NA,NA,NA,"11","0.4281546","56.79846","6.799166","2.223701","5.261334",NA,NA,NA,"**NT_C_3**"
"H_C_4","1.22008","43080.81","547.2768","546.134","0.9990383","0.9989582","33.15","30.47",NA,NA,NA,NA,NA,NA,"7710.346","3996.038","17.98115",NA,"-16.44709","3996.038","24470.61","33.39341","l4","1.249332","0.9926647","8.608075","0","30","1.872642","288.1907","740.3876","25.81373","3.30232e-05","1.368754","0.5143166","0","H_C_4"
"N_C_4","1.206319","49618.38","552.9282","551.7853","0.9989354","0.9988467","32.81","29.97",NA,NA,NA,NA,NA,NA,"7796.374","4079.473","28.2144",NA,"-15.3211","4079.473","24774.63","33.09374","l4","1.242402","0.9950977","11.56868","0","29","1.91169","201.0353","50.79065","6.74807","2.580324e-05","1.424925","0.8030695","0","N_C_4"
"S_C_4","1.225155","49824.18","553.0937","551.9509","0.9990022","0.9989191","32.9","30.19",NA,NA,NA,NA,NA,NA,"7786.341","3934.278","16.93755",NA,"-16.12749","3934.278","25223.95","33.15326","l4","1.257953","0.9943997","7.60708","0","30","1.877829","243.865","168.9583","12.33136","3.714514e-05","1.421545","0.7080302","0","S_C_4"
"H_T_4","1.215061","19098.05","514.7372","513.5943","0.9991757","0.999107","34.77","32.3",NA,NA,NA,NA,NA,NA,"6862.206","3777.342","12.70399",NA,"-18.63533","3777.342","20445.27","34.9742","l4","1.237049","0.9918911","7.242718","0","32","1.87692","222.49","52.63473","6.906535","8.248595e-06","1.37523","0.5806656","0","H_T_4"
"N_T_4","1.222114","26261.66","527.4781","526.3353","0.9991598","0.9990898","34.78","32.25",NA,NA,NA,NA,NA,NA,"7654.392","4067.455","11.87307",NA,"-18.24365","4067.455","23551.11","34.9922","l4","1.245496","0.9934908","6.527227","0","32","1.868516","241.3986","95.03738","9.280497","1.139676e-05","1.395287","0.6562231","0","N_T_4"
"*S_T_4*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_T_4*"
"NT_C_4","1.000112","4.184665","177.7006","176.5577","0.858326","0.8465198","20.19","15.07",NA,NA,NA,NA,NA,NA,"3856.437","3854.904","3849.912",NA,"-5.407449","3854.904","3867.285","21.6393","l4",NA,NA,NA,NA,"15","1695.045","66.3053","3.569004","1.689735","2.521532e-45",NA,NA,NA,"NT_C_4"
"H_C_5","1.218893","52619.79","555.2774","554.1346","0.999005","0.9989221","32.51","29.77",NA,NA,NA,NA,NA,NA,"7915.369","4059.809","21.84129",NA,"-15.7417","4059.809","25456.57","32.77758","l4","1.253859","0.9951245","9.277245","0","29","1.88284","284.578","905.5056","28.49268","4.559937e-05","1.464473","0.851013","0","H_C_5"
