,sig.eff,sig.resVar,sig.AICc,sig.AIC,sig.Rsq,sig.Rsq.ad,sig.cpD1,sig.cpD2,sig.cpE,sig.cpR,sig.cpT,sig.Cy0,sig.cpCQ,sig.cpMR,sig.fluo,sig.init1,sig.init2,sig.cf,sig.b,sig.c,sig.d,sig.e,sig.model,sli.eff,sli.rsq,sli.init,sli.base,exp.point,exp.eff,exp.AIC,exp.resVar,exp.RMSE,exp.init,LRE.eff,LRE.rsq,LRE.base,Names
,H_T_2,31.17,17.69,13.48,29.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_T_2,34.12,16.06,18.06,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_T_2,35.16,15.45,19.71,27.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_C_3,31.97,19.55,12.42,31.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_C_3,32.47,17.3,15.17,29.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_C_3,30.97,16.81,14.16,28.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_T_3,29.38,16.75,12.63,28.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_T_3,32.74,16.11,16.63,28.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_T_3,31.6,16.56,15.04,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_C_4,31.72,18.23,13.49,30.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_C_4,33.04,16.62,16.42,28.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_C_4,30.84,16.69,14.15,28.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_T_4,31.65,40,-8.35,52.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_T_4,33.82,15.53,18.29,27.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_T_4,32.84,17.06,15.78,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_C_5,30.66,16.59,14.07,28.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_C_5,32.2,16.9,15.3,28.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_C_5,31.29,16.61,14.68,28.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_T_5,31.21,18.77,12.44,30.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
