Cycles,CARM_HC_1,CARM_NC_1,CARM_SC_1,CARM_HT_1,CARM_NT_1,CARM_ST_1,CARM_NTC_1,CARM_HC_2,CARM_NC_2,CARM_SC_2,CARM_HT_2,CARM_NT_2,CARM_ST_2,CARM_NTC_2,CARM_HC_3,CARM_NC_3,CARM_SC_3,CARM_HT_3,CARM_NT_3,CARM_ST_3,CARM_NTC_3,CARM_HC_4,CARM_NC_4,CARM_SC_4,CARM_HT_4,CARM_NT_4,CARM_ST_4,CARM_NTC_4,CARM_HC_5,CARM_NC_5,CARM_SC_5,CARM_HT_5,CARM_NT_5,CARM_ST_5,CARM_HC_6,CARM_NC_6,CARM_SC_6,CARM_HT_6,CARM_NT_6,CARM_ST_6,CARM_HC_7,CARM_NC_7,CARM_SC_7,CARM_HT_7,CARM_NT_7,CARM_ST_7,CARM_HC_8,CARM_NC_8,CARM_SC_8,CARM_HT_8,CARM_NT_8,CARM_ST_8
30,6011.301141,6518.737185,6021.382435,4379.299442,6100.75882,5472.892118,3372.412492,6139.507542,8243.812732,8264.851019,6583.404068,4506.37017,5886.139164,3369.670312,7799.094261,7604.939192,8289.797702,5365.025204,10221.87403,4068.395366,3346.724984,7782.319632,8627.6828,9023.800932,5517.928087,6196.219829,5872.148009,3464.3299,7808.538327,6953.043532,7668.698123,5449.883507,5617.465594,3705.563585,3872.885211,8147.799524,8637.148368,4943.646663,4657.762081,4428.28681,7318.356298,6178.038316,6767.738305,7207.37166,5599.878305,5810.192276,8233.44019,6763.850434,6762.401034,5741.24121,4097.157351,5273.149578
31,7982.396423,8674.292292,7929.958546,5245.637859,8020.750298,7099.920606,3420.888221,8118.995757,10903.93929,10854.20914,8740.574723,5401.594939,7733.082065,3426.278512,10172.75472,10098.47567,10839.55779,6921.414266,12724.39326,4718.445313,3408.524342,10480.93054,11371.87259,11821.81203,7203.816575,8177.667618,7689.454447,3479.477007,9954.908853,9149.78632,9888.043925,7060.169619,7267.731392,4046.419806,4184.488087,10775.93667,11019.45147,6274.86565,5752.375102,5369.798548,9569.653889,7191.462958,8900.755392,9349.134013,7240.136598,7584.902192,10501.79779,8901.005592,8952.49398,7562.060707,4798.374386,6810.772676
32,10516.93977,11158.48243,10265.59938,6725.007399,10361.71619,9390.176559,3503.46516,10716.15845,12938.36396,12737.93337,11093.31027,6970.994392,10268.11115,3523.15789,11993.59865,12608.48037,12696.98074,8988.10543,14531.80654,5859.42007,3514.150697,13127.23454,13355.7266,13763.46241,9611.750011,10836.09507,10262.21582,3512.763602,11466.928,11203.28775,11467.08829,9132.137459,9462.651436,4679.53924,4784.19607,13070.40888,12597.57127,8200.341489,7538.499897,6943.963037,11532.50088,8570.366515,10934.28286,11182.37163,9452.226117,9806.321428,12081.66899,11033.09225,11221.95305,9895.967245,6022.080747,8891.215546
33,12371.4427,12800.69577,11859.66472,8893.479702,11977.03778,11537.59688,3666.950399,12794.89133,14760.83197,14523.58287,12702.0574,9344.766978,12289.30775,3707.38871,13608.99188,14363.96512,14477.24507,10642.06116,16571.01733,7658.398799,3703.531625,14990.3454,15207.05856,15711.11065,11973.27501,12903.28847,12778.43873,3571.728334,12947.40282,12706.77113,13020.42111,10684.37523,11188.68827,5786.622738,5863.528414,14863.38362,14244.74977,10264.04921,9958.466226,9124.966387,13055.97979,9921.582269,12426.60689,12654.23893,11374.7969,11497.69489,13562.34427,12546.67351,12798.4039,11782.23274,7942.814486,10801.91933
34,14104.14466,14606.43548,13502.00359,11065.73844,13664.94427,13181.5582,3945.995605,14555.59507,16679.81216,16334.57647,14458.87818,12028.69699,14098.22978,4014.11202,15250.22995,16307.29394,16282.2847,12077.58663,18453.78956,9875.210433,4025.308951,16961.19706,17063.08899,17635.92541,13686.19073,14806.41552,14632.00669,3671.588452,14361.12041,14308.54815,14572.47868,12095.38014,12724.32289,7476.357491,7627.643849,16753.90063,15801.56091,11676.10581,11997.63214,11160.42344,14562.47068,11048.09349,14008.33865,14190.37369,12924.17196,13049.33247,14950.90103,14075.16155,14380.91552,13345.04815,10323.72588,12249.01358
35,15897.29943,16374.87137,15168.34795,12591.82872,15361.58142,15050.84393,4410.763845,16393.35587,18368.5842,17899.82887,16147.61952,13810.93348,16056.25649,4507.392797,16691.45338,18108.00494,17859.08734,13597.81303,20032.9431,11410.32529,4519.381378,18751.90996,18657.81526,19293.88394,15567.33661,16862.77188,16725.11113,3843.841712,15567.2164,15762.42215,15921.49942,13526.81588,14377.78573,9472.567316,10063.85999,18450.21973,17109.96936,13192.66906,13657.78086,12686.76491,15891.52528,12001.93755,15450.29291,15555.19605,14578.59655,14623.78206,16114.00282,15456.48732,15824.8519,14913.38353,12073.39503,13807.80012
36,17458.25421,17860.33511,16601.23964,14385.51978,16829.45121,16798.29742,5084.57074,18009.54412,19738.77485,19179.27916,17570.00362,15846.42585,17825.6668,5189.300382,17862.36603,19602.8362,19137.29445,14954.64426,21291.7046,12993.6982,5186.465599,20219.05883,19944.96883,20628.02609,17318.8714,18690.12676,18689.9567,4117.53862,16540.07947,16958.29435,17006.78229,14777.48225,15848.56818,10858.09213,12282.07905,19836.99392,18152.77766,14609.69883,15432.77614,14327.35321,16979.03162,12823.25152,16637.70822,16685.76614,16068.18304,16002.01105,17032.40432,16593.52254,17023.68642,16282.99523,13710.54026,15208.60686
37,18717.77331,19049.47775,17755.42445,16118.76639,18029.9328,18267.07342,5869.991096,19338.38824,20810.56431,20187.02713,18717.39215,17874.84993,19297.62716,5909.408816,18784.30693,20792.35054,20164.27849,16057.8779,22281.27046,14609.69072,5882.96093,21377.06766,20942.45092,21684.30333,18782.8546,20211.9357,20352.31933,4536.947657,17310.81927,17890.96241,17869.90653,15786.3309,17061.36999,12334.3535,13955.05838,20945.13275,18967.84222,15809.12938,17026.28141,15827.31383,17851.81199,13510.02317,17586.37925,17581.80528,17307.80709,17124.71943,17757.08593,17508.10578,17982.905,17395.90677,15367.14641,16366.47502
38,19697.46611,19972.29504,18659.71717,17581.45539,18972.86772,19455.85317,6652.991609,20379.76117,21637.35567,20968.05145,19618.83298,19623.84675,20470.25339,6606.163673,19487.437,21704.83927,20964.6288,16946.15686,23041.15681,16024.42149,6620.404053,22264.89605,21706.55157,22492.37856,19960.63533,21425.34646,21701.57689,5077.546516,17887.15859,18626.87062,18536.67747,16578.76375,18037.73005,13840.94672,15747.34956,21798.44334,19574.32672,16780.75519,18344.6647,17067.5038,18517.07196,14104.01723,18325.19993,18281.36413,18288.13908,18024.22903,18303.46186,18230.72407,18743.7941,18273.08799,16805.43506,17303.10216
39,20463.03669,20683.23408,19358.42573,18768.02244,19717.95123,20414.57805,7559.9774,21191.84938,22251.01582,21545.09251,20314.47855,21045.502,21404.62874,7460.074837,20007.21356,22383.9521,21543.12023,17634.41762,23581.41848,17180.81502,7497.656618,22916.31684,22251.9658,23082.38896,20887.06683,22391.26849,22776.5548,5646.489795,18302.83246,19156.93469,19018.87323,17193.04549,18789.70969,15166.6161,17385.55866,22436.62308,19985.34648,17551.29067,19388.74879,18071.11609,19029.28193,14621.8606,18897.26631,18818.4729,19083.84505,18738.72951,18671.41597,18762.4594,19308.12383,18957.4042,17977.73095,18050.78931
40,21013.16378,21188.14337,19871.53127,19704.52679,20276.19431,21150.83232,8591.37255,21803.75419,22647.127,21905.49561,20819.67916,22181.165,22119.04703,8434.184506,20335.26102,22854.91405,21933.27756,18161.76531,23900.2294,18107.31166,8474.132427,23345.69666,22593.67611,23450.0984,21602.38438,23137.48935,23624.30785,6309.560353,18551.44764,19523.18273,19332.68097,17636.24598,19387.03493,16270.54486,18750.76503,22870.8467,20214.10566,18146.96443,20211.51179,18873.33363,19361.51455,15083.50694,19290.33661,19186.69328,19692.43901,19275.19561,18860.22355,19122.30201,19703.72732,19462.97449,18920.78168,18632.13122
