Sample,Number,Size (mm),Weight (g in shell),Observations,Tissue Type,Storage,Room
1219133N1-4,9,20,0.72,,Whole Body,-20 Bottom,FTR 209
1219133N1-4,10,20,0.79,,Whole Body,-20 Bottom,FTR 209
1219133N1-4,11,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N1-4,12,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N1-4,13,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N1-4,14,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N1-4,15,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N1-4,16,,,Dead,Whole Body,-20 Bottom,FTR 209
,,,,,,,
1219133S1-4,1,11,0.21,,Whole Body,-20 Bottom,FTR 209
1219133S1-4,2,12,0.18,Dead,Whole Body,-20 Bottom,FTR 209
1219133S1-4,3,17,0.28,Dead,Whole Body,-20 Bottom,FTR 209
1219133S1-4,4,13,0.24,Dead,Whole Body,-20 Bottom,FTR 209
1219133S1-4,5,11,0.06,Dead,Whole Body,-20 Bottom,FTR 209
1219133S1-4,6,16,0.46,,Whole Body,-20 Bottom,FTR 209
1219133S1-4,7,18,0.66,,Whole Body,-20 Bottom,FTR 209
1219133S1-4,8,12,0.1,,Whole Body,-20 Bottom,FTR 209
1219133S1-4,9,18,0.51,,Whole Body,-20 Bottom,FTR 209
1219133S1-4,10,11,0.16,,Whole Body,-20 Bottom,FTR 209
1219133S1-4,11,18,0.25,,Whole Body,-20 Bottom,FTR 209
1219133S1-4,12,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133S1-4,13,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133S1-4,14,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133S1-4,15,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133S1-4,16,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133S5-8,1,15,0.35,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,2,13,0.21,Dead,Whole Body,-20 Bottom,FTR 209
1219133S5-8,3,8,0.1,,Whole Body,-20 Bottom,FTR 209
