Sample,Number,Size (mm),Weight (g in shell),Observations,Tissue Type,Storage,Room
919141S1-4,5,37,9.07,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,6,32,4.13,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,7,37,9.32,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,8,34,6.57,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,9,35,7.37,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,10,32,5.28,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,11,25,2.75,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,12,30,4.23,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,13,29,5.65,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,14,39,7.41,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,15,35,6.06,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,16,34,6.95,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,17,35,6.13,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,18,27,2.33,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,19,27,3.55,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,20,27,3.45,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,21,30,4.27,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,22,26,3.75,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,23,30,4.94,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,24,30,4.23,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S9-12,1,28,3.28,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S9-12,2,11,0.19,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S9-12,3,10,0.3,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,1,37,5.28,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,2,35,6.27,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,3,32,4.47,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,4,40,7.81,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,5,29,5.09,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,6,24,2.65,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,7,35,6.26,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,8,37,7.46,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,9,30,4.45,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,10,27,3.5,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,11,28,4.04,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,12,39,7.36,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,13,25,3.55,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,14,37,7.78,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,15,34,4.98,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,16,37,6.27,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,17,33,4.34,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,18,30,5.09,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,19,39,6.47,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,20,37,7.76,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,21,27,4.39,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,22,36,6.61,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S13-16,23,29,2.71,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,1,34,8.16,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,2,41,9.37,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,3,38,7.67,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,4,41,8.03,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,5,34,4.89,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,6,32,4.61,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,7,43,8.78,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,8,41,5.59,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,10,44,10.72,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,11,48,12.03,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,12,43,9.46,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,13,50,10.27,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,14,41,9.45,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,15,42,9.05,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,16,41,9.12,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,17,33,5.36,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,18,40,10.01,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,19,38,10.38,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N1-4,20,29,4.24,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N5-8,1,39,5.81,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N5-8,2,35,4.91,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N5-8,3,33,7.01,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N5-8,4,40,8.31,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N5-8,5,45,7.81,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N5-8,6,33,5.31,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N5-8,7,42,6.91,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N5-8,8,31,4.53,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N5-8,9,34,5.15,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N5-8,10,31,4.82,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,1,32,5.96,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,2,37,7.64,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,3,36,6.54,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,4,28,4.42,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,5,34,5.92,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,6,38,7.4,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,7,38,12.85,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,8,34,12.85,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,9,36,5.96,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,10,41,11.2,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,11,47,8.46,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,12,49,9.24,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,13,40,8.92,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,14,36,6.25,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,15,36,5.33,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,16,48,9.29,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,17,45,7.08,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,18,37,8.7,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,19,32,7.83,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,20,32,5.18,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141N9-12,21,49,9.1,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H1-4,1,34,3.78,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H1-4,2,35,5.01,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H1-4,3,36,5.58,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H1-4,4,29,3.45,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H1-4,5,32,4.28,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H1-4,6,34,5.58,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H1-4,7,24,2.32,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H1-4,8,31,3.24,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H1-4,9,28,2.64,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H1-4,10,30,3.39,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,1,30,3.87,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,2,35,6.48,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,3,30,4.13,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,4,30,3.32,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,5,32,4.96,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,6,24,2.21,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,7,24,2.2,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,8,35,5.47,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,9,24,2.25,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,10,30,4.67,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,11,28,2.55,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,12,30,3.54,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H5-8,13,25,3.15,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,1,31,4.77,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,2,30,3.34,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,3,27,4.21,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,4,27,3.62,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,5,30,3.95,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,6,32,4.75,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,7,25,2.44,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,8,29,3.75,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,9,26,2.94,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,10,27,3.73,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,11,30,3.53,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,12,35,5.31,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,13,25,2.67,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H9-12,15,30,4.38,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H13-16,1,32,5.75,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H13-16,2,27,3.12,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H13-16,3,32,5.1,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H13-16,4,25,3.15,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H13-16,5,34,5.55,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H13-16,6,27,2.75,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H13-16,7,25,2.2,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H13-16,8,26,3.12,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H13-16,9,23,2.24,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H13-16,10,34,5.06,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H13-16,11,36,4.07,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141H13-16,12,25,2.65,,Ctenidia/Whole Body,-20 Bottom,FTR 209
Date,Sample,Size.mm,Weight.g,,,,
1017142S1-4,1,38,3.34,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S1-4,2,32,4.41,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S1-4,3,31,2.59,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S1-4,4,32,4.93,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S1-4,5,31,4.79,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S1-4,6,39,5.58,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S1-4,7,40,5.03,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S1-4,8,30,4.14,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S1-4,9,33,4.91,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S1-4,10,28,2.89,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S1-4,11,28,3.41,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S1-4,12,32,4.34,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S1-4,13,35,4.47,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S5-8,1,36,5.05,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S5-8,2,39,6.47,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S5-8,3,39,5.81,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S5-8,4,30,4.19,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S5-8,5,32,2.95,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S5-8,6,36,4.44,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S5-8,7,37,4.84,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S5-8,8,38,7.45,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S5-8,9,29,2.75,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S5-8,10,36,6.02,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S5-8,11,36,5.55,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S5-8,12,42,6.5,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,1,32,4.78,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,2,35,5.66,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,3,29,3.77,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,4,28,3.67,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,5,35,4.85,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,6,40,5.5,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,7,31,3.14,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,8,41,6.65,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,9,29,3.98,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,10,27,2.6,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,11,34,4.22,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,12,35,4.45,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S9-12,13,28,2.9,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S13-16,1,22,2.3,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S13-16,2,37,5.78,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S13-16,3,32,4.41,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S13-16,4,28,3.08,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S13-16,5,23,1.49,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S13-16,6,36,4.48,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S13-16,7,33,4.6,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S13-16,8,35,5.75,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S13-16,9,34,4.96,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S13-16,10,27,3.76,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S13-16,11,29,2.87,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142S13-16,12,31,3.7,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,1,24,1.6,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,2,30,3.48,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,3,23,1.94,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,4,30,1.2,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,5,32,3.71,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,6,22,1.79,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,7,43,6.11,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,8,26,2.92,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,9,22,1.39,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,10,27,2.51,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,11,33,3.1,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,12,32,3.64,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H1-4,13,30,3.29,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H5-8,1,31,3.45,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H5-8,2,28,3.25,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H5-8,3,23,2.08,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H5-8,4,25,1.67,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H5-8,5,25,1.88,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H5-8,6,26,2.24,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H5-8,7,28,2.45,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H5-8,8,25,1.95,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H5-8,9,28,2.78,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H5-8,10,26,1.9,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H5-8,11,35,4.5,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H5-8,12,32,2.96,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,1,26,2.83,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,2,30,3.54,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,3,32,3.78,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,4,25,1.76,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,5,31,4.1,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,6,28,3.37,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,7,28,2.68,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,8,32,3.64,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,9,24,2.04,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,10,26,1.39,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,11,29,3.57,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,12,30,3.5,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H9-12,13,21,1.37,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H13-16,1,22,1.3,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H13-16,2,30,3.4,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H13-16,3,30,3.72,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H13-16,4,25,2.99,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H13-16,5,29,2.43,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H13-16,6,30,3.33,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H13-16,7,25,1.81,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H13-16,8,34,3.85,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H13-16,9,28,3.43,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H13-16,10,28,3.39,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H13-16,11,29,3.5,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142H13-16,12,30,3.95,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,1,44,6.5,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,2,35,5.02,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,3,43,9.1,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,4,36,5.44,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,5,33,4.56,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,6,33,5.1,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,7,33,6.24,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,8,30,3.51,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,9,35,3.91,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,10,39,6.95,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,11,29,2.93,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,12,35,4.71,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N1-4,13,32,3.83,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N5-8,1,41,5.59,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N5-8,2,36,3.57,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N5-8,3,26,2.04,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N5-8,4,38,6.45,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N5-8,5,29,3.35,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N5-8,6,34,6.3,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N5-8,7,32,5.15,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N5-8,8,29,2.55,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N5-8,9,30,1.98,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N5-8,10,30,2.59,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N5-8,11,35,6.45,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N5-8,12,30,3.09,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N9-12,1,38,5.93,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N9-12,2,28,4.01,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N9-12,3,26,2.96,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N9-12,4,33,3.23,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N9-12,5,37,4.23,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N9-12,6,23,1.75,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N9-12,7,35,3.55,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N9-12,8,32,3.22,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N9-12,9,37,4.91,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N9-12,10,25,1.92,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N9-12,11,32,3.73,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N9-12,12,25,1.99,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,1,28,3.22,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,2,22,2.38,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,3,28,3.64,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,4,35,3.4,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,5,20,1.28,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,6,33,4.77,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,7,37,5.38,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,8,29,3.41,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,9,31,3.95,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,10,33,5.57,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,11,36,4.83,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,12,24,2.54,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1017142N13-16,13,37,6.1,,Ctenidia/Whole Body,-20 Bottom,FTR 209
Date,Sample,Size.mm,Weight.g,,,,
1024144H1-4,1,25,2.17,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H1-4,2,26,2.4,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H1-4,3,24,2.15,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H1-4,4,18,1.41,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H1-4,5,28,2.48,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H1-4,6,23,2.45,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H1-4,7,25,1.4,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H1-4,8,22,1.6,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H1-4,9,24,1.72,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H1-4,10,23,1.47,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H1-4,11,16,0.88,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H1-4,12,22,1.07,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H5-8,1,25,3.16,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H5-8,2,26,2.05,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H5-8,3,19,1.25,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H5-8,4,25,1.72,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H5-8,5,24,1.88,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H5-8,6,24,1.93,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H5-8,7,23,1.94,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H5-8,8,31,3.63,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H5-8,9,23,1.32,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H5-8,10,23,1.82,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H5-8,11,19,0.94,,Ctenidia/Whole Body,-20 Bottom,FTR 209
1024144H5-8,12,24,1.66,,Ctenidia/Whole Body,-20 Bottom,FTR 209
