Cycles,Actin_HC_1,Actin_NC_1,Actin_SC_1,Actin_HT_1,Actin_NT_1,Actin_ST_1,Actin_NTC_1,Actin_HC_2,Actin_NC_2,Actin_SC_2,Actin_HT_2,Actin_NT_2,Actin_ST_2,Actin_NTC_2,Actin_HC_3,Actin_NC_3,Actin_SC_3,Actin_HT_3,Actin_NT_3,Actin_ST_3,Actin_NTC_3,Actin_HC_4,Actin_NC_4,Actin_SC_4,Actin_HT_4,Actin_NT_4,Actin_ST_4,Actin_NTC_4,Actin_HC_5,Actin_NC_5,Actin_SC_5,Actin_HT_5,Actin_NT_5,Actin_ST_5,Actin_HC_6,Actin_NC_6,Actin_SC_6,Actin_HT_6,Actin_NT_6,Actin_ST_6,Actin_HC_7,Actin_NC_7,Actin_SC_7,Actin_HT_7,Actin_NT_7,Actin_ST_7,Actin_HC_8,Actin_NC_8,Actin_SC_8,Actin_HT_8,Actin_NT_8,Actin_ST_8
29,11477.21857,9825.005116,11152.48943,6809.241432,9180.510759,7762.743387,3293.234859,13793.86907,13173.27369,13833.96164,9237.192759,10401.84973,8754.597269,3318.358933,11743.43124,11761.84634,14192.45799,7926.362867,8939.266279,5187.665247,3343.869303,13443.31949,14278.09672,9998.205981,12540.77817,6303.379796,7855.983889,3410.037152,10023.4879,10419.524,11821.5239,7468.904645,7222.593129,5267.708195,4111.930879,13599.62405,10539.95029,12222.04405,8075.555294,10996.99509,13984.47153,9556.936473,12399.92541,7949.945182,7639.926523,7389.424159,11866.8003,15237.31222,12093.72084,8363.129265,7059.150549,7626.248115
30,13150.26269,12073.54336,12868.33733,8577.74741,11445.37173,9803.329781,3295.840349,15483.52663,14896.54805,15334.34694,11335.92396,12414.58528,10717.86001,3320.798271,14022.09964,13698.2404,15820.66602,10168.76129,10771.71357,6441.540764,3342.52363,15302.48164,15919.77447,12115.63655,14533.9782,8128.940712,10000.50875,3409.775341,11775.29441,12040.28633,13304.16589,9354.034411,8981.194637,6586.927878,4681.968426,15278.0422,12224.6836,13995.04776,10014.8884,12475.61449,14917.9245,10915.12791,13663.05213,9849.074324,9480.748898,9102.102728,13362.79279,15764.50104,13422.43027,10335.67488,8846.013428,9304.745045
31,14478.0162,14080.76818,14273.52275,10399.26759,13577.2468,11830.01017,3304.59794,16775.4013,16245.81808,16430.66497,13249.90522,14165.0357,12506.54086,3320.235432,15935.96117,15302.07392,17052.36279,12483.64268,12402.1176,8025.630645,3356.233184,16765.4539,17159.01831,13981.9793,16164.20308,10356.47363,12202.34765,3412.048769,13238.6257,13350.85598,14463.65414,11221.30417,10738.90903,8267.552912,5668.308983,16552.47321,13611.82422,15422.91069,11866.93029,13649.55456,15409.56995,12087.07588,14574.33337,11651.51797,11251.49821,10752.07971,14529.10681,15902.14412,14409.85139,12176.36694,10656.09287,10866.45037
32,15438.30008,15716.78324,15322.04707,12016.11663,15384.97819,13574.92218,3325.155755,17609.49414,17168.74173,17063.95882,14846.3175,15565.40159,14003.58486,3320.182789,17424.68638,16520.97437,17798.52598,14569.37659,13753.12407,9680.930264,3373.444322,17768.88121,17910.97516,15472.19727,17378.68089,12626.18396,14181.63624,3413.090978,14355.38536,14342.68577,15246.60694,12850.45391,12287.70366,10047.44467,7181.277577,17355.06046,14651.64249,16460.7368,13460.98156,14478.12304,15557.37565,13077.16427,15081.50535,13183.70933,12769.56899,12179.92813,15318.21491,15948.28748,15007.02594,13735.96095,12274.33361,12181.05892
33,15958.34531,16918.96215,15943.68419,13328.49489,16791.71208,14970.11658,3362.175312,17939.27707,17594.5232,17262.78754,16076.0399,16570.46506,15153.8131,3329.189983,18423.91414,17276.35893,18076.47649,16301.68008,14777.60247,11194.51121,3411.557771,18256.16102,18189.54727,16569.81415,18110.66395,14643.31553,15811.57868,3419.022717,15101.86145,14931.64542,15600.03961,14159.23847,13549.91197,11665.3267,9130.115336,17663.33793,15299.79981,17014.48962,14734.01785,14903.80385,15599.71904,13858.88921,15231.96536,14381.6065,13978.32445,13314.83457,15649.92906,15979.34255,15220.55683,14957.27624,13602.53407,13205.74744
34,16108.84929,17639.1206,16170.58806,14302.75607,17728.43218,15955.00568,3446.732483,18026.23063,17700.65022,17299.03055,16859.00716,17113.14182,15897.23981,3335.924968,18866.61096,17563.24162,18143.68383,17613.50052,15399.97244,12431.06064,3493.248647,18365.68149,18249.01798,17180.32439,18355.09295,16288.9326,17042.62455,3422.087795,15391.78621,15118.00695,15674.90204,15101.49376,14474.55347,13010.29388,11188.22794,17733.06674,15533.15892,17169.63617,15617.64633,15019.90906,15629.23567,14373.03194,15261.81227,15203.91543,14807.77963,14118.909,15729.43583,15997.78009,15262.57264,15777.05395,14602.39583,13882.96075
35,16154.02211,17883.49423,16229.25211,14879.36441,18164.43737,16490.98166,3603.941405,18062.62558,17740.85883,17320.08331,17199.33648,17279.08963,16219.59401,3352.594662,18976.37687,17635.06535,18176.17721,18432.98193,15640.71174,13321.28992,3656.243188,18404.1894,18280.79006,17359.67547,18419.8308,17516.91043,17801.33682,3426.382599,15468.03379,15167.06391,15718.3939,15609.81695,14998.50937,14051.22251,13073.27151,17763.90849,15581.44468,17222.73602,16072.40712,15061.20886,15648.65852,14575.56122,15286.9497,15565.13185,15177.44232,14518.24591,15763.05946,16016.31153,15290.25215,16143.22344,15215.74244,14181.25606
36,16179.15253,17931.57169,16256.994,15074.00912,18300.49721,16628.51143,3917.879155,18090.11824,17776.36766,17343.5024,17272.45542,17325.63852,16292.7628,3380.428905,19013.0155,17663.79728,18193.99222,18752.92692,15695.13509,13696.60921,3982.39968,18435.22395,18299.31462,17405.72202,18455.00929,18256.42099,18091.37902,3438.527309,15495.25572,15191.6138,15732.07475,15737.86942,15160.17853,14702.79272,14639.06213,17786.145,15616.72286,17245.00381,16203.72196,15083.13653,15658.45638,14609.50825,15299.51931,15646.95696,15245.89641,14619.89643,15779.10255,16025.71944,15293.26432,16219.1542,15416.44278,14225.02148
37,16189.14,17952.50834,16278.45156,15109.08695,18365.93815,16671.05517,4475.480264,18110.48412,17793.22096,17352.77934,17313.55856,17358.78414,16328.02143,3438.600365,19037.75597,17691.76102,18216.46916,18823.60446,15735.88834,13767.42554,4582.284806,18448.33403,18315.59911,17441.99122,18475.33607,18527.35809,18175.44616,3460.565907,15514.77131,15200.81059,15745.83574,15777.81148,15204.30362,14954.92476,15840.682,17808.20363,15636.81898,17265.18985,16246.05557,15094.97607,15664.54132,14605.46498,15304.54383,15668.66473,15281.34464,14657.26612,15791.16198,16033.85582,15310.78808,16252.57054,15467.99372,14249.37101
38,16211.10774,17981.12103,16302.89101,15138.50106,18457.1223,16695.21509,5334.739785,18126.78816,17809.04414,17374.90639,17341.2897,17384.44526,16355.87277,3567.66243,19059.92211,17711.34502,18225.06587,18868.07943,15764.6105,13802.47404,5558.137448,18465.83825,18325.43705,17486.34696,18498.69457,18591.04763,18220.25148,3495.551858,15539.10129,15219.68602,15759.49704,15806.17397,15233.08637,15019.576,16621.75603,17821.63428,15650.41969,17278.11033,16278.23166,15109.29805,15680.02341,14612.80092,15320.68661,15693.00351,15296.49737,14677.02213,15819.78543,16043.48363,15330.03392,16280.66329,15503.85243,14279.49467
39,16215.88108,17989.62783,16310.1771,15151.07067,18530.4504,16709.2947,6435.963555,18132.55253,17814.27879,17374.40599,17350.53732,17394.94388,16366.45154,3821.207951,19064.38661,17709.22418,18235.94565,18880.64025,15777.37069,13831.03689,6893.746172,18468.69991,18323.17352,17533.66405,18507.41247,18622.66272,18249.3763,3567.505322,15539.48148,15216.81361,15763.04969,15810.04718,15251.74092,15044.70642,16925.07837,17817.31051,15659.20698,17283.5639,16302.99069,15118.81542,15680.84438,14597.18884,15317.19359,15702.66161,15299.62975,14688.02115,15822.27668,16058.58553,15332.43623,16291.06124,15512.88015,14284.83879
40,16230.09556,18000.71024,16324.88124,15160.57123,18629.65213,16727.1831,7545.933955,18148.17766,17824.8901,17378.32241,17364.25258,17410.22876,16385.64951,4290.354178,19074.28859,17721.44613,18235.19835,18905.78288,15790.67421,13847.12157,8383.061204,18484.55575,18325.3094,17587.89999,18521.84726,18654.7034,18275.81087,3707.430736,15544.24786,15225.96331,15762.97239,15823.30086,15272.75069,15074.60216,16999.27937,17823.53941,15669.80812,17282.26716,16328.59417,15126.80402,15690.52487,14577.71596,15319.31817,15718.38697,15318.12678,14705.43811,15829.98589,16070.58825,15332.61883,16299.40093,15531.39775,14295.62049
