Cycles,CRAF_HC_1,CRAF_NC_1,CRAF_SC_1,CRAF_HT_1,CRAF_NT_1,CRAF_ST_1,CRAF_NTC_1,CRAF_HC_2,CRAF_NC_2,CRAF_SC_2,CRAF_HT_2,CRAF_NT_2,CRAF_ST_2,CRAF_NTC_2,CRAF_HC_3,CRAF_NC_3,CRAF_SC_3,CRAF_HT_3,CRAF_NT_3,CRAF_ST_3,CRAF_NTC_3,CRAF_HC_4,CRAF_NC_4,CRAF_SC_4,CRAF_HT_4,CRAF_NT_4,CRAF_ST_4,CRAF_NTC_4,CRAF_HC_5,CRAF_NC_5,CRAF_SC_5,CRAF_HT_5,CRAF_NT_5,CRAF_ST_5,CRAF_HC_6,CRAF_NC_6,CRAF_SC_6,CRAF_HT_6,CRAF_NT_6,CRAF_ST_6,CRAF_HC_7,CRAF_NC_7,CRAF_SC_7,CRAF_HT_7,CRAF_NT_7,CRAF_ST_7,CRAF_HC_8,CRAF_NC_8,CRAF_SC_8,CRAF_HT_8,CRAF_NT_8,CRAF_ST_8
11,3198.564658,3296.372756,3317.232434,3173.524639,3233.426486,3188.348491,3179.633522,3412.298352,3368.107052,3414.216877,3294.569314,3261.437872,3171.449984,3154.134153,3391.541784,3584.905205,3285.780312,3248.969906,3215.119873,3152.090528,3102.592987,3343.80566,3365.322845,3350.561055,3303.023088,3351.781024,3375.561003,3242.745941,3225.774378,3239.670487,3256.423858,3260.343981,3191.674145,3290.545104,3332.859906,3463.401179,3251.211687,3260.061773,3196.417924,3170.542277,3375.602051,3242.641854,3287.781911,3234.364247,3290.190817,3147.899192,3181.092696,3216.172716,3199.43034,3183.157333,3215.161898,3159.481441
12,3203.340047,3302.022885,3319.255646,3178.727367,3236.168274,3191.830852,3181.385496,3411.235131,3371.70355,3418.209697,3295.007271,3262.179043,3170.688963,3158.846494,3395.139265,3585.104009,3285.906006,3251.420449,3222.095019,3149.964399,3102.520492,3342.576278,3366.460348,3353.199755,3303.858335,3353.721167,3375.696731,3247.313163,3226.410479,3240.515741,3259.082575,3260.052344,3195.17752,3299.333725,3339.532831,3461.108958,3254.078578,3258.279932,3199.869256,3170.960175,3378.323829,3245.623826,3295.538701,3239.431867,3287.616356,3150.944185,3185.752999,3218.884447,3199.461948,3181.520614,3216.986935,3159.54505
13,3207.030404,3305.368955,3322.768839,3176.610112,3241.02655,3194.384317,3181.384921,3416.072363,3375.070621,3418.563366,3297.883973,3267.15142,3171.491033,3162.745034,3393.470326,3592.6614,3291.586952,3243.142254,3223.262362,3153.851945,3107.972284,3347.069253,3369.148899,3358.672514,3306.818111,3352.250393,3377.718732,3248.677681,3231.163693,3241.881237,3261.354798,3262.845979,3196.949354,3300.667202,3345.818254,3467.529476,3257.07037,3265.868413,3201.066656,3173.80587,3382.024173,3244.654448,3300.417002,3241.589011,3286.802124,3153.268471,3186.044649,3223.751767,3207.290622,3184.022037,3217.903101,3163.932994
14,3205.810435,3302.971044,3320.673171,3177.892141,3244.549383,3194.822656,3186.837274,3411.641822,3375.226752,3421.836977,3298.926798,3265.180852,3172.221597,3162.995234,3396.545781,3589.116577,3293.036107,3246.175682,3227.504764,3154.957808,3110.39023,3346.64191,3371.421711,3356.055434,3303.221244,3356.180534,3384.129859,3255.996514,3235.000741,3243.892853,3266.441869,3264.56537,3201.264813,3301.303697,3345.537023,3462.296293,3250.659244,3263.669635,3197.678941,3177.152537,3384.422084,3248.313376,3301.282684,3242.391654,3287.406611,3148.785887,3188.046247,3228.82882,3207.833047,3187.253622,3217.027402,3163.47462
15,3208.489577,3306.609937,3323.185187,3178.36151,3247.374638,3197.804041,3192.476788,3419.126804,3375.727151,3424.641218,3301.772088,3269.330162,3173.983013,3163.81889,3395.795181,3593.379991,3296.2997,3244.435279,3226.567004,3162.067491,3111.172838,3352.542619,3371.723954,3359.391106,3311.43679,3357.53562,3384.849427,3251.586987,3234.573398,3246.561977,3263.075166,3265.149821,3204.184137,3305.389968,3346.735979,3464.308887,3258.217282,3265.629208,3205.445153,3176.610112,3388.102025,3245.164865,3303.846743,3240.578194,3292.129377,3155.102944,3187.869104,3230.330019,3213.264387,3188.06726,3224.794592,3163.255451
16,3208.187334,3310.331904,3328.877722,3183.198381,3247.176482,3200.598265,3186.743205,3418.615409,3376.69692,3428.018916,3303.742656,3272.832959,3178.73681,3168.62473,3397.567593,3595.340542,3292.733864,3238.524552,3230.840436,3159.002054,3116.019727,3355.628091,3373.850653,3360.674113,3306.119555,3358.703545,3383.733546,3253.817772,3242.245541,3246.498939,3262.90804,3265.06577,3203.173319,3307.433593,3345.181759,3471.157374,3258.935874,3270.997509,3201.734182,3177.746029,3385.380858,3248.375437,3304.483238,3249.210088,3293.390394,3158.38755,3190.736384,3229.07902,3217.569827,3187.503822,3225.200922,3169.625529
17,3210.251971,3313.271263,3329.732408,3188.806865,3252.628834,3199.46137,3194.072056,3420.82616,3380.095631,3433.898612,3309.206004,3273.697664,3176.922373,3173.253427,3400.350822,3597.988653,3297.008274,3244.404248,3230.486149,3159.086106,3115.091984,3353.574449,3373.871665,3362.331443,3313.479437,3359.954544,3383.702515,3259.019925,3242.756936,3247.886033,3265.315969,3269.882605,3204.080049,3309.914578,3350.572051,3470.762039,3260.562173,3266.942268,3204.757593,3178.871928,3384.849427,3254.73452,3305.640168,3245.498139,3293.96385,3158.41858,3192.810062,3233.249343,3225.743348,3191.695158,3223.209341,3170.06289
18,3210.356058,3312.770863,3327.501623,3184.116106,3259.936673,3199.18014,3194.634517,3423.672427,3380.230748,3434.315938,3311.248651,3272.373608,3180.790452,3172.919175,3399.548179,3599.009488,3295.016693,3243.382436,3232.487748,3157.646968,3116.092783,3353.938753,3373.392279,3365.354853,3313.146163,3361.101456,3390.040585,3262.428654,3244.612422,3251.127635,3270.101774,3269.736492,3208.166321,3311.071508,3349.331069,3470.521857,3260.417037,3268.370411,3204.705549,3180.415153,3393.741539,3252.149448,3310.039678,3249.564375,3294.026889,3157.156586,3195.635316,3234.406273,3225.930509,3194.447356,3226.170691,3169.583503
19,3212.535381,3315.52366,3333.120726,3187.848667,3266.692659,3202.214147,3192.800621,3426.497323,3383.682114,3435.150232,3313.240831,3275.33555,3183.678343,3174.869304,3402.98953,3605.786548,3294.809114,3241.881823,3232.947683,3160.534855,3121.337526,3356.577453,3374.63387,3366.762591,3315.044274,3360.403508,3385.829826,3262.28313,3245.332577,3250.23151,3270.258496,3270.21647,3205.185515,3311.166175,3353.700154,3472.263865,3264.931242,3269.392814,3206.436514,3186.076255,3398.537976,3253.453078,3314.647961,3254.599991,3295.424596,3161.598693,3197.710549,3238.597216,3230.757946,3196.970945,3230.038377,3173.733387
20,3220.134864,3320.996427,3335.392935,3188.713773,3279.869585,3203.45455,3196.219768,3424.620205,3387.247339,3435.545924,3316.148561,3279.838555,3183.209376,3179.195184,3408.368212,3609.549889,3299.916603,3242.631836,3237.867044,3164.121133,3122.347779,3360.705144,3372.589636,3371.473754,3314.793475,3362.498568,3390.467928,3265.076765,3248.532545,3256.485919,3274.698463,3273.249308,3205.14291,3317.52466,3353.147105,3474.744223,3267.422632,3273.104172,3205.508192,3182.645938,3401.842003,3260.635229,3315.940387,3255.840384,3297.643791,3164.63155,3205.695353,3243.194297,3231.873244,3194.811661,3226.983352,3175.734412
21,3225.002766,3320.923371,3336.664947,3188.431565,3310.852339,3207.374673,3199.534427,3433.648412,3387.913887,3444.198831,3320.245827,3282.85097,3183.813863,3177.204581,3412.673652,3611.488449,3306.693011,3241.119642,3245.467109,3166.779262,3117.823169,3366.761983,3378.073019,3377.624663,3317.847916,3366.761983,3387.976925,3265.837382,3253.640629,3260.124812,3279.765498,3274.532315,3208.937933,3315.450005,3351.134512,3476.286471,3273.937846,3272.98909,3213.649704,3185.168949,3411.12041,3263.491514,3320.26684,3258.019126,3305.994455,3162.577908,3214.046017,3248.500537,3238.753739,3195.134917,3231.727131,3176.985411
22,3232.353214,3324.395738,3344.974189,3191.30944,3369.212547,3210.606838,3200.764991,3436.985683,3393.210722,3448.995277,3323.843295,3280.266491,3186.430542,3180.18654,3418.919248,3619.037123,3314.480835,3242.26714,3245.769938,3165.247604,3124.756272,3374.863057,3381.857658,3383.672096,3328.82628,3368.336847,3396.723538,3265.733885,3261.032131,3265.984085,3288.2939,3279.60996,3214.265767,3313.302892,3358.234783,3486.431189,3292.745454,3277.514292,3213.755349,3189.40191,3431.22009,3269.643014,3326.751624,3263.65923,3312.979636,3166.060265,3234.824183,3255.131421,3250.85701,3202.631473,3234.354813,3176.94396
23,3247.709476,3326.855711,3350.916925,3196.543601,3479.623749,3214.546997,3203.830429,3455.937834,3410.266339,3463.767087,3336.967793,3283.561115,3189.736161,3179.174746,3432.074777,3634.63259,3332.360109,3251.430466,3257.727489,3168.344072,3122.723643,3395.18129,3393.012566,3394.107434,3330.691784,3369.859059,3398.256745,3266.411428,3274.105563,3279.839147,3308.048695,3288.721243,3218.205926,3321.413375,3357.380096,3494.281454,3327.084898,3279.849165,3215.360636,3191.966947,3460.264289,3282.205051,3337.583275,3273.417025,3333.110708,3171.866906,3277.233062,3261.824756,3259.603988,3205.988158,3236.543574,3176.808842
24,3279.129004,3336.466791,3371.421711,3198.971966,3696.421273,3226.587039,3208.822851,3480.467789,3427.831755,3490.277626,3355.784221,3290.763296,3194.072056,3179.185166,3457.188209,3660.944941,3359.850457,3255.130833,3277.409613,3171.167777,3126.435028,3422.243307,3409.442067,3419.866409,3341.126518,3373.590435,3405.824187,3270.883404,3297.227443,3303.232239,3347.517609,3311.207603,3225.023779,3320.756245,3361.789017,3517.027995,3387.424482,3285.853368,3218.226358,3192.330675,3530.361642,3305.494055,3364.082841,3287.125381,3362.727755,3180.112909,3361.372669,3280.088755,3287.333555,3219.634465,3245.530147,3186.983387
25,3340.647131,3352.094262,3400.517947,3209.073051,4103.527429,3250.272949,3211.534001,3537.346224,3474.139736,3536.387451,3390.823193,3295.298901,3204.819654,3182.782033,3515.60987,3709.806964,3422.504502,3270.174831,3316.99323,3176.265842,3127.268701,3490.027426,3444.229862,3462.859731,3364.103854,3377.35345,3415.217676,3272.478673,3341.836069,3351.97918,3421.63882,3347.715765,3240.233925,3326.000424,3360.49697,3560.770939,3511.21036,3298.582529,3225.899478,3200.421121,3662.080858,3353.126092,3409.942467,3309.518265,3434.618181,3193.800844,3522.146096,3312.114333,3332.265437,3242.71491,3262.803953,3196.281829
