Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\7292015\EF1drawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6,
4, 21, SBGnew, 60.0, 0.0002,0.0001,0.0006,0.0001,0.0003,0.0004,0.0009,0.0001,0.0000,0.0000,0.0019,0.0005,0.0000,0.0018,0.0006,0.0004,0.0018,0.0010,0.0003,0.0006,0.0019,0.0000,0.0027,0.0050,0.0004,0.0008,0.0002,0.0024,0.0014,0.0009,0.0004,0.0007,0.0000,0.0000,0.0003,0.0008,0.0018,0.0000,0.0001,0.0004,0.0006,0.0001,0.0038,0.0004,0.0000,0.0003,0.0011,0.0015,0.0007,0.0016,0.0000,0.0010,
4, 22, SBGnew, 60.0, 0.0001,0.0001,0.0014,0.0005,0.0003,0.0000,0.0007,0.0005,0.0015,0.0004,0.0020,0.0000,0.0001,0.0021,0.0010,0.0000,0.0039,0.0019,0.0000,0.0007,0.0015,0.0008,0.0062,0.0101,0.0012,0.0007,0.0003,0.0018,0.0033,0.0025,0.0021,0.0013,0.0015,0.0002,0.0002,0.0000,0.0053,0.0008,0.0003,0.0007,0.0013,0.0006,0.0083,0.0012,0.0002,0.0009,0.0029,0.0009,0.0024,0.0018,0.0005,0.0007,
4, 23, SBGnew, 60.0, 0.0011,0.0000,0.0029,0.0000,0.0000,0.0001,0.0004,0.0008,0.0036,0.0027,0.0040,0.0003,0.0003,0.0021,0.0005,0.0005,0.0093,0.0042,0.0010,0.0008,0.0016,0.0012,0.0132,0.0191,0.0021,0.0000,0.0003,0.0012,0.0059,0.0081,0.0059,0.0018,0.0036,0.0011,0.0000,0.0007,0.0114,0.0021,0.0002,0.0016,0.0031,0.0019,0.0160,0.0036,0.0013,0.0030,0.0056,0.0000,0.0048,0.0030,0.0003,0.0003,
4, 24, SBGnew, 60.0, 0.0025,0.0005,0.0052,0.0004,0.0008,0.0000,0.0008,0.0023,0.0075,0.0072,0.0073,0.0011,0.0007,0.0022,0.0011,0.0020,0.0198,0.0085,0.0024,0.0021,0.0008,0.0025,0.0277,0.0367,0.0032,0.0000,0.0011,0.0013,0.0113,0.0181,0.0134,0.0037,0.0079,0.0014,0.0005,0.0021,0.0238,0.0049,0.0000,0.0045,0.0069,0.0034,0.0309,0.0096,0.0024,0.0062,0.0111,0.0005,0.0086,0.0060,0.0017,0.0000,
4, 25, SBGnew, 60.0, 0.0048,0.0021,0.0108,0.0013,0.0012,0.0015,0.0013,0.0052,0.0165,0.0173,0.0138,0.0015,0.0022,0.0019,0.0033,0.0058,0.0395,0.0166,0.0057,0.0036,0.0006,0.0066,0.0525,0.0696,0.0062,0.0010,0.0031,0.0017,0.0216,0.0372,0.0273,0.0084,0.0184,0.0025,0.0004,0.0051,0.0453,0.0114,0.0019,0.0111,0.0142,0.0076,0.0598,0.0208,0.0065,0.0126,0.0216,0.0018,0.0178,0.0135,0.0040,0.0010,
4, 26, SBGnew, 60.0, 0.0090,0.0051,0.0208,0.0037,0.0031,0.0037,0.0012,0.0112,0.0337,0.0340,0.0272,0.0043,0.0050,0.0020,0.0077,0.0136,0.0751,0.0330,0.0122,0.0055,0.0011,0.0145,0.0943,0.1230,0.0106,0.0028,0.0058,0.0015,0.0406,0.0690,0.0527,0.0161,0.0370,0.0035,0.0006,0.0116,0.0856,0.0212,0.0047,0.0239,0.0273,0.0147,0.1088,0.0424,0.0146,0.0261,0.0390,0.0051,0.0349,0.0258,0.0072,0.0016,
4, 27, SBGnew, 60.0, 0.0173,0.0106,0.0375,0.0082,0.0056,0.0089,0.0011,0.0215,0.0632,0.0636,0.0529,0.0088,0.0101,0.0017,0.0155,0.0282,0.1343,0.0623,0.0258,0.0101,0.0015,0.0293,0.1568,0.2029,0.0204,0.0084,0.0118,0.0014,0.0730,0.1188,0.0950,0.0315,0.0688,0.0056,0.0007,0.0243,0.1529,0.0390,0.0121,0.0455,0.0519,0.0280,0.1845,0.0822,0.0294,0.0496,0.0665,0.0113,0.0625,0.0496,0.0132,0.0034,
4, 28, SBGnew, 60.0, 0.0307,0.0211,0.0651,0.0169,0.0103,0.0180,0.0006,0.0399,0.1098,0.1091,0.0957,0.0175,0.0203,0.0010,0.0315,0.0534,0.2198,0.1107,0.0488,0.0199,0.0012,0.0560,0.2357,0.3072,0.0402,0.0180,0.0229,0.0015,0.1225,0.1854,0.1607,0.0586,0.1208,0.0091,0.0018,0.0465,0.2547,0.0723,0.0256,0.0814,0.0893,0.0530,0.2839,0.1452,0.0561,0.0862,0.1047,0.0231,0.1052,0.0870,0.0245,0.0073,
4, 29, SBGnew, 60.0, 0.0516,0.0364,0.1036,0.0327,0.0173,0.0339,0.0005,0.0690,0.1730,0.1714,0.1556,0.0338,0.0380,0.0010,0.0592,0.0936,0.3287,0.1805,0.0857,0.0367,0.0020,0.1006,0.3261,0.4293,0.0767,0.0354,0.0432,0.0014,0.1873,0.2642,0.2480,0.1034,0.1973,0.0172,0.0026,0.0830,0.3849,0.1281,0.0499,0.1339,0.1392,0.0921,0.3996,0.2328,0.1007,0.1386,0.1492,0.0423,0.1602,0.1408,0.0442,0.0142,
4, 30, SBGnew, 60.0, 0.0796,0.0568,0.1507,0.0597,0.0317,0.0575,0.0006,0.1101,0.2481,0.2456,0.2309,0.0616,0.0665,0.0011,0.1011,0.1517,0.4521,0.2698,0.1396,0.0672,0.0023,0.1636,0.4189,0.5564,0.1361,0.0646,0.0748,0.0015,0.2642,0.3483,0.3500,0.1721,0.2889,0.0315,0.0052,0.1347,0.5351,0.2165,0.0893,0.2013,0.1977,0.1468,0.5195,0.3421,0.1657,0.2006,0.1967,0.0731,0.2238,0.2064,0.0763,0.0268,
4, 31, SBGnew, 60.0, 0.1113,0.0809,0.2016,0.0975,0.0525,0.0875,0.0003,0.1583,0.3269,0.3234,0.3118,0.1015,0.1059,0.0007,0.1566,0.2201,0.5721,0.3654,0.2037,0.1092,0.0013,0.2410,0.4998,0.6732,0.2220,0.1116,0.1167,0.0012,0.3432,0.4262,0.4549,0.2575,0.3891,0.0555,0.0078,0.1972,0.6856,0.3304,0.1473,0.2752,0.2593,0.2112,0.6300,0.4604,0.2462,0.2664,0.2408,0.1143,0.2882,0.2775,0.1199,0.0476,
